EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-1,-2,-1,-2,0,0,1,2
0,0,-3,0,1,-2,-1,-1
-3,-1,-1,-1,-1,-1,-2,0
-1,0,-2,-2,-1,1,-2,-2
-1,-1,0,0,-2,-2,-2,0
-2,-2,0,-2,0,-1,0,1
0,0,-1,0,1,-3,-2,-1
-1,-2,-3,4,5,-2,-1,-2
-2,-2,0,-5,-2,-4,-1,-1
0,-3,2,-13,-36,-1,0,1
2,3,2,15,39,7,1,0
0,-4,-1,-2,-3,-2,0,1
1,1,-4,-7,2,-1,0,0
-4,-1,0,-6,-18,-5,-1,-1
1,-2,0,1,-12,0,0,0
-6,-4,-3,5,18,1,-3,-4
6,-12,-2,5,13,1,0,0
9,30,3,4,0,-2,0,2
-1,-6,-3,-2,-1,-2,-2,-1
-7,8,-1,-15,-11,-2,-2,-2
2,3,1,-15,-39,-4,1,2
-1,-4,-4,13,37,3,-2,-2
5,0,-2,-11,-8,-3,-1,-1
-3,-1,0,-33,-32,-1,1,-2
-6,-4,7,34,30,4,-1,-3
-3,-5,-10,-1,-3,-3,-1,-1
-1,1,0,-36,-16,-3,-2,-2
2,-1,7,29,-6,2,0,2
0,0,-7,-8,5,-1,0,-1
-1,4,3,1,-20,0,-2,-2
-3,0,-2,14,35,1,-3,-4
-6,-10,-4,-2,1,-4,-2,-1
-1,2,4,-1,-15,-2,1,1
-6,-10,0,3,7,0,-2,-2
-1,4,-7,-7,-15,-3,-2,0
-2,-10,-7,-1,4,1,-1,0
-7,-8,1,5,5,-2,-4,-4
5,6,-3,-13,-3,-5,-3,-6
3,-2,1,-35,-40,-2,3,0
6,-5,7,2,-6,5,4,6
-8,2,9,35,51,10,3,1
-6,-9,-11,9,28,1,-4,-5
-11,4,14,32,4,-5,-3,-5
5,3,-15,-38,-28,-11,-5,-2
6,5,1,-32,-27,-1,2,0
-3,-6,4,21,16,4,1,-2
-3,-2,2,23,23,2,0,0
15,8,3,7,12,-4,0,9
-17,-9,-13,-15,-30,-7,-8,-18
-7,-11,-8,-12,-7,-2,-2,-1
7,19,24,9,-1,0,-1,-2
-17,-8,0,-4,-5,-3,-1,-3
22,24,1,-9,-5,-1,3,9
-7,-8,0,-2,-19,-1,1,-1
2,0,-9,6,20,7,2,0
12,3,8,12,15,0,-1,0
-2,14,-6,-4,0,-2,-3,-2
-4,-21,6,-5,-5,-3,-1,1
7,3,-12,-6,-11,-2,-2,1
-35,-23,-3,7,11,1,-2,-9
1,-5,-13,-10,-11,-6,-6,-3
15,18,3,-5,-10,-3,0,4
-12,-6,-2,0,0,-2,-2,-5
2,20,-2,4,7,-2,-11,-3
0,-18,1,-5,-8,-2,0,-3
7,10,8,4,7,0,-8,-2
-2,-2,-8,-1,-3,-1,0,0
-4,-8,-3,0,2,-6,-9,-2
-3,-7,3,0,-3,3,4,9
-8,7,-4,-3,1,2,-6,-6
-8,-24,-6,-3,-6,-3,9,-1
9,23,5,2,1,5,11,4
7,0,4,-1,-4,-4,-1,7
-4,-8,-5,-4,-1,1,-8,-3
-8,-17,-5,-11,-3,0,2,-3
10,3,7,17,8,1,9,5
-24,-2,-1,-1,-4,-8,-3,-9
13,14,3,1,-2,2,5,5
-10,-11,-8,-1,-10,-4,-11,-5
10,-2,-6,-31,-14,-9,-6,-3
-9,-11,-4,25,10,1,-6,-8
-9,-26,3,0,6,9,15,1
-3,-2,-5,1,1,5,5,-5
15,3,-2,-7,0,0,0,18
0,-3,-1,-15,-8,-5,-11,-10
14,-7,-5,-9,-9,-11,-5,-1
-28,12,0,11,5,3,1,-4
-2,15,3,-2,-3,3,-3,-7
11,-6,-3,-9,0,3,8,11
-8,8,1,-2,-3,-22,-65,-24
12,-21,-14,-28,-9,-16,16,7
-2,9,-3,24,11,2,-4,5
-5,-16,-2,-20,-8,-4,40,8
3,8,5,-3,4,15,37,5
21,14,7,11,6,7,-19,4
-14,-8,-4,1,-3,-15,-37,-16
0,-5,-3,14,-1,-10,-27,-8
-4,-5,-4,-5,-8,5,18,7
24,31,6,4,11,7,5,5
-15,-29,-8,-7,-3,0,9,-3
-4,2,-5,-15,-8,-6,-14,-5
12,15,3,10,1,-6,8,4
5,-7,-4,6,-5,-4,-3,-5
5,12,6,13,7,19,-8,-2
4,2,5,16,6,-8,48,14
-19,-12,-23,-26,-27,-35,-85,-35
-21,-30,-16,-49,-23,-18,-42,-11
11,22,44,68,45,9,24,8
8,0,0,-4,10,16,-45,3
-9,-1,-1,2,-2,-18,58,14
17,10,14,33,21,41,43,23
-20,-21,-27,-45,-32,-20,-35,-20
0,-5,-2,-9,2,1,-38,-13
-5,24,6,13,7,13,-10,-7
-4,-3,-7,-15,-13,-14,-31,-6
1,-9,-4,-9,-1,1,16,1
6,16,5,6,0,0,17,4
-12,-14,-9,-20,-14,8,6,1
11,3,-4,-11,-4,-6,9,1
6,-4,3,7,17,12,20,8
-20,6,-4,8,-13,-16,-24,-21
0,-58,-14,-14,4,-5,-19,-1
-6,29,19,12,15,15,2,-10
-12,-9,-8,-8,-12,-15,-15,-7
-31,-8,-3,-13,-4,37,34,-10
1,-17,0,23,18,0,55,18
30,40,3,-14,-9,-8,12,4
-1,3,-10,-20,-16,-4,-5,2
1,6,0,9,5,-9,-29,-9
12,3,-2,-6,-1,13,-16,2
-37,-14,-3,-3,-13,-9,19,6
4,-14,-10,-19,-8,18,8,-2
22,20,19,31,27,20,66,22
-22,0,-5,0,1,2,2,-10
-24,-62,-7,-11,1,1,8,0
-1,35,0,-16,-10,-4,-19,-7
22,6,-4,-22,-11,-9,19,21
-5,7,21,39,30,24,-1,-1
10,-16,-10,-2,-7,-8,-21,-4
2,11,8,15,1,5,20,2
2,-13,-17,-11,-12,-18,-27,-13
-14,10,-8,-49,-26,-22,-23,-3
-6,-1,8,47,13,-11,-61,-18
-1,-14,12,39,21,2,5,-3
23,17,5,-3,0,5,54,22
-39,-22,-17,-17,-6,8,-39,-48
12,3,-4,3,8,-55,-73,-24
-13,-5,-2,-17,8,9,81,21
4,-15,12,28,18,37,97,42
-1,13,7,11,5,0,-38,-18
-12,-5,-17,-24,-24,13,4,-33
9,-2,-5,3,-13,-10,-7,-15
-17,-10,-19,-56,-3,24,80,1
42,28,35,33,14,14,122,64
-26,-10,-17,-25,-30,-48,-55,-22
35,19,5,22,7,-2,-90,7
-25,-45,2,-10,-5,-52,-42,-27
13,23,16,5,11,33,26,21
23,43,29,29,19,23,65,26
-6,-10,-6,25,20,-4,-29,-16
-9,-23,-38,-46,-49,-10,-61,-16
-3,7,18,38,16,-21,-24,-13
-11,-18,-8,2,15,27,16,1
-9,13,1,-21,5,16,-24,-26
2,17,-2,13,1,11,-67,-16
4,-11,-18,-38,-29,-31,-17,7
5,-4,-11,-19,-19,-2,-19,15
-25,-42,-18,-46,-17,-7,-19,-22
21,39,39,52,43,21,55,28
-9,8,-17,-15,-13,7,-25,-18
4,-11,6,17,8,7,27,13
-6,-8,-75,-72,-67,-28,-14,0
