EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-1,-1,-1,-1,-3,0,-3,-5
-2,0,-2,-2,-1,-1,-3,-5
-2,-2,-1,1,-2,-2,-1,-1
-3,-2,-3,-1,-1,-1,-1,-3
-2,1,-3,-2,-1,-1,-2,-3
-3,0,-2,-2,-3,0,-4,-5
0,0,-2,-1,-1,-1,-3,-1
1,0,-1,-1,-3,1,-3,-1
-3,-1,-2,-1,-2,-2,-3,-5
-1,-1,-2,-3,-2,-4,-4,-3
2,-1,-1,0,0,-1,-3,-3
-6,-1,-2,0,-3,-2,-1,-2
6,-1,-1,0,-3,0,-2,-1
-10,-4,-3,0,-3,-1,-2,-5
2,-2,-1,-2,-2,-1,-2,0
1,1,0,-2,-1,1,-1,-1
-1,1,-1,-1,1,0,0,-1
2,2,0,0,-1,1,0,1
0,0,0,2,2,1,0,-1
-2,-3,-1,1,0,-2,-1,-3
0,0,-2,-5,-1,-2,0,0
2,-2,-2,0,2,0,-1,2
-4,-3,-1,-3,-7,-3,0,0
1,0,2,4,-2,0,0,-2
0,-2,-2,-8,-1,-1,0,2
-3,-3,-6,-23,-8,-2,0,0
8,6,11,31,20,6,3,6
-9,-5,-2,4,-1,0,-3,-14
3,1,-2,1,1,-2,-3,-2
-1,1,-1,3,-3,-4,-4,-2
-5,-4,-8,-17,-13,-6,-4,-1
3,2,-3,-4,-3,0,-2,1
-1,-5,0,3,0,-1,-1,1
-3,-4,-3,-4,-5,-2,0,1
0,-1,0,-5,-4,-2,-1,-1
-1,-3,-2,1,2,1,-1,-1
-4,-2,-4,2,3,-2,-3,-2
1,1,-2,6,0,-2,0,3
-5,-14,1,-33,-30,-7,-4,-2
1,-5,7,22,0,6,1,-2
-13,1,-5,16,30,4,3,-1
-1,-5,1,-9,-6,2,0,-1
9,36,15,27,14,3,0,0
-5,-10,-7,-30,-18,-9,-5,-4
19,38,10,-3,-20,2,2,6
-1,-5,4,53,58,7,1,0
-8,-16,-12,-13,-12,-7,-1,-4
-5,-8,-5,-8,-7,-5,-3,0
-3,-11,-3,6,0,-1,-2,-3
-3,-3,-4,-16,-20,-6,-4,-3
-1,-4,-2,-13,-3,1,0,-2
3,8,0,9,4,-1,0,0
-5,-14,-5,-10,1,-3,-4,-4
2,3,-1,-5,-14,-4,0,3
-2,-5,-4,-1,9,0,-1,-1
2,2,-2,-11,-16,-3,0,0
3,0,4,3,-3,1,4,3
-7,-2,2,5,2,3,1,-1
0,-1,-2,20,30,3,0,-3
-3,0,-3,-10,2,-3,-3,-2
-3,-6,-3,-15,-32,-5,-1,-1
7,6,-1,6,11,-1,-1,-1
-5,-4,-6,-3,-1,-2,-1,0
1,-6,-1,1,6,-1,-1,-1
-3,-7,-1,-8,-6,-3,-3,-3
-4,14,2,-5,-2,-2,-1,-3
14,4,-2,-8,-20,-3,-1,0
4,4,3,5,11,2,1,2
-12,-11,-6,0,1,-4,-2,-5
7,-2,-1,-7,-11,1,-1,2
-9,-4,0,6,9,1,-1,-3
-1,-1,-2,-1,-2,-4,-2,0
4,-3,-3,-1,1,1,2,2
2,-1,-2,-2,-1,-3,-2,0
-12,-3,-4,-2,-4,-2,-4,-8
-2,-1,-4,-13,-11,-3,-2,0
-2,-7,3,9,13,2,0,-1
1,7,1,10,-1,2,0,-2
-2,-7,-5,-9,5,-3,-2,-1
1,18,-1,5,1,0,0,-2
-4,-8,-4,-21,-10,-5,-4,-2
14,26,10,2,-5,1,-2,-2
-6,-39,-3,22,19,2,1,2
2,43,9,1,0,-3,0,-2
1,-4,-7,-6,-5,-3,1,5
-2,-8,-6,-13,-6,-5,-4,-5
-4,-4,4,-9,-13,-1,2,1
3,-27,-10,2,5,1,-3,-2
