Gyro_X,Gyro_Y,Gyro_Z
52.6875,-7.1875,23.8125
45.3125,-7.0625,22.125
38.0,-5.5625,21.625
34.125,-9.5625,18.5
33.3125,-11.1875,16.25
28.5625,-12.0,14.9375
31.0,-11.4375,12.75
30.9375,-12.625,11.3125
25.8125,-10.875,10.0
27.0,-11.9375,8.25
22.0625,-10.375,6.1875
27.5625,-10.625,4.1875
24.9375,-11.8125,1.375
20.9375,-5.3125,1.3125
24.3125,1.125,4.0625
20.0,9.8125,6.0
19.25,18.8125,4.3125
30.9375,28.9375,3.0625
34.125,49.6875,1.0625
19.4375,76.75,2.875
17.5625,92.0625,6.25
32.875,105.4375,4.75
43.0625,126.75,-5.1875
35.9375,145.625,-11.625
29.3125,157.75,-10.0625
41.1875,169.125,-11.4375
57.1875,177.3125,-17.25
62.6875,180.5625,-23.125
57.8125,181.5,-24.75
60.5625,180.375,-22.4375
78.625,177.3125,-24.0625
86.625,174.25,-32.1875
81.6875,165.5,-32.75
79.125,152.5625,-27.4375
81.75,143.375,-30.5625
79.75,135.5,-35.0
80.3125,121.8125,-29.875
88.3125,105.125,-25.0625
88.5625,88.75,-26.0
79.3125,74.3125,-28.625
74.625,60.375,-26.625
72.1875,47.125,-25.875
67.1875,34.125,-25.1875
58.1875,22.625,-22.6875
48.8125,12.1875,-17.625
45.0625,1.875,-14.0
40.0625,-5.875,-9.8125
38.0,-11.25,-6.875
26.1875,-18.625,-3.5625
16.75,-19.8125,-3.0625
21.875,-16.9375,-4.0
24.0,-13.8125,-5.5625
16.8125,-13.0625,-4.0
5.375,-9.8125,-4.375
13.0,-5.25,-1.9375
17.8125,-1.6875,-0.875
11.1875,1.25,-1.125
7.375,2.875,-1.8125
2.4375,3.625,-1.9375
-3.9375,3.375,-3.4375
-8.375,-0.4375,-4.625
-11.75,-5.5,-7.0
-14.125,-8.8125,-9.0625
-18.9375,-12.0625,-8.375
-17.9375,-13.875,-7.25
-12.625,-11.5625,-6.8125
-15.8125,-8.1875,-5.125
-15.875,-4.625,-0.8125
