EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-6,-3,3,12,-4,-4,-26,-11
-3,-4,-26,-14,-27,-2,32,5
8,10,-4,-40,1,-5,14,17
1,2,18,16,7,-2,13,7
-3,-5,-11,3,-2,1,7,-3
-15,-5,-12,-14,-17,-6,-31,-12
-19,-38,-25,-27,-13,-23,-9,-14
20,32,-2,-23,-12,1,-2,4
18,18,14,-26,-37,-7,25,24
-15,4,4,30,35,-4,-12,-1
15,2,15,19,21,11,7,-1
-50,-53,-49,-6,-17,-12,1,0
-24,17,70,57,69,69,-8,-20
34,22,45,73,37,-7,13,12
7,-3,-25,-39,-33,-36,-47,-13
29,12,13,12,23,31,21,4
-29,-36,-42,-30,-24,-7,14,-9
-18,1,-3,-16,-22,-35,-1,-12
-7,5,-17,-14,-10,11,32,8
-1,-16,-6,-37,-35,-10,-18,-10
3,-3,-20,-4,2,-10,-15,-5
11,-13,5,-14,-2,17,-25,-11
-29,-7,3,-18,-12,-38,-35,-11
6,18,-10,-26,-21,-74,-56,-12
21,2,-39,6,-4,-9,-25,19
6,20,26,-9,-25,48,36,6
55,28,49,-16,9,38,51,31
-97,2,124,118,123,100,108,12
105,20,-26,-15,-20,-42,47,57
-112,-38,-25,-57,-57,-64,-59,-55
-22,5,25,-18,-41,-10,-82,-40
39,4,-29,-9,4,5,-30,-4
-30,-22,-15,-18,-19,-5,-21,-18
10,-9,-52,-20,-5,-3,-19,5
-11,-23,-25,-3,14,35,32,2
17,5,5,-10,-8,-9,6,18
-25,-8,-5,6,4,-11,-20,-18
30,9,2,-11,1,16,24,14
-10,2,-5,13,5,-2,4,9
12,-7,-13,-1,-15,-14,15,-2
-27,-14,4,-13,1,2,-1,-19
23,23,19,19,20,-8,-12,6
6,8,-16,-1,-1,3,13,8
-20,-31,-26,-26,-21,-11,-20,-11
18,28,22,3,-3,12,-1,-5
-2,3,0,4,1,-9,4,6
-8,-10,-17,-9,11,11,2,2
12,10,3,-2,6,-7,-14,-6
-34,-36,-4,7,5,-7,-8,-12
21,7,-1,3,-3,-5,1,6
-13,-1,-21,-8,0,1,-10,-10
0,-7,4,-6,-6,-7,-8,0
4,7,7,-2,-2,0,2,-1
8,19,-6,-1,2,10,7,5
-1,5,5,1,-1,4,-2,-4
5,-16,-36,-9,-17,-12,-5,3
-10,-5,7,-2,8,0,-5,-10
6,5,21,4,4,2,0,-1
4,22,32,12,6,-1,-5,0
-18,-29,14,-3,-6,-6,-4,-6
-2,-13,-43,-5,-3,1,-3,-6
-24,-22,-45,-2,0,-1,-4,-7
11,-49,-39,-8,5,7,13,18
22,38,39,2,-2,-3,20,30
-7,53,45,21,7,4,-36,-54
-6,-28,-3,2,4,-1,-6,0
-4,-4,44,-5,-15,-1,-3,-7
18,13,-18,-3,-1,-8,-4,1
-24,-49,-19,-6,-2,8,26,3
19,-10,-67,-27,-6,-7,-12,19
-24,-28,29,21,-3,-1,-10,-20
10,30,29,-11,-1,1,1,11
-5,-46,-47,-11,-7,-12,-6,4
20,68,22,12,11,5,14,12
2,-23,54,6,-9,-2,24,11
1,73,15,-1,10,7,-39,-52
-9,-81,-82,-7,-1,4,13,14
