Gyro_X,Gyro_Y,Gyro_Z
10.0,8.75,10.9375
11.75,9.375,10.8125
16.375,8.875,11.25
18.3125,11.1875,11.375
19.75,9.125,10.5
14.5625,9.125,10.875
15.1875,10.1875,10.125
15.4375,9.6875,9.8125
14.5625,12.125,8.75
13.3125,11.4375,9.5625
11.3125,12.9375,9.75
12.75,11.125,9.625
12.75,11.25,9.75
15.0625,8.625,8.75
17.3125,11.3125,13.375
27.0,13.5,19.125
35.9375,19.75,27.75
41.75,33.1875,39.8125
65.25,50.5,44.875
110.125,71.9375,38.5
122.3125,98.5625,27.75
103.75,118.9375,24.8125
94.375,131.0,22.0625
93.125,143.625,14.6875
87.75,155.875,4.1875
85.4375,161.4375,-1.3125
89.5625,161.625,-3.0625
101.4375,164.375,-7.5625
112.5,165.5625,-20.0
108.1875,164.5625,-30.625
76.125,157.3125,-29.625
73.0625,151.9375,-25.1875
112.1875,146.3125,-26.375
135.875,134.6875,-32.6875
116.3125,119.25,-32.25
102.5,105.5,-29.9375
95.25,96.1875,-34.75
78.3125,86.0625,-37.3125
52.1875,73.5,-37.3125
42.5,64.3125,-35.625
39.25,53.9375,-33.375
29.875,41.0,-26.5625
28.0625,28.5,-19.75
27.5625,14.0625,-13.75
29.0,3.625,-7.125
24.0,-5.875,-0.5625
19.625,-15.5,4.6875
24.1875,-21.125,3.375
18.1875,-21.9375,3.9375
2.3125,-17.9375,8.9375
-2.1875,-17.4375,12.5625
15.9375,-11.5625,14.1875
16.0625,-5.75,14.6875
5.3125,1.4375,11.625
-0.375,3.5625,10.625
7.1875,7.1875,10.0
4.0625,11.5,6.0
-2.125,16.625,4.3125
-4.875,25.4375,2.1875
1.875,37.1875,-2.125
8.375,50.9375,-5.5
5.25,67.9375,-7.3125
1.6875,80.9375,-9.5625
1.6875,87.625,-16.375
8.8125,93.9375,-28.75
2.8125,97.5625,-44.625
-5.25,96.875,-54.875
-6.25,93.8125,-73.4375
-8.125,84.875,-94.0625
-12.8125,72.9375,-107.625
-19.0,59.5625,-114.3125
-27.875,51.6875,-127.375
