Gyro_X,Gyro_Y,Gyro_Z
39.625,-119.0,17.875
41.9375,-115.625,9.625
50.0,-112.4375,3.5625
37.1875,-109.875,-12.875
28.75,-98.875,-25.5625
27.0625,-82.9375,-32.4375
21.5625,-65.875,-30.1875
10.625,-55.125,-26.125
-19.25,-44.0625,-21.5625
-30.25,-32.6875,-19.75
-37.9375,-15.75,-17.6875
-27.125,-3.875,-14.875
-27.125,5.0625,-9.5
-22.9375,11.3125,-10.8125
-19.9375,16.8125,-10.6875
-19.375,20.5,-11.625
-13.625,22.875,-9.8125
-4.375,29.1875,-7.3125
-0.3125,40.125,-2.8125
4.3125,52.9375,-0.25
6.9375,68.3125,-0.375
-0.25,89.4375,-5.6875
0.6875,113.3125,-7.125
16.9375,129.9375,-8.0
30.375,146.4375,-12.4375
40.25,162.8125,-19.1875
46.6875,177.1875,-26.0
55.125,186.9375,-29.5
67.875,193.1875,-33.4375
76.5625,194.1875,-36.875
78.0625,192.4375,-38.0
77.4375,187.75,-38.3125
78.375,180.3125,-41.3125
84.625,169.5625,-41.5625
90.5,155.1875,-39.0
90.5,140.25,-40.8125
90.9375,125.625,-39.6875
91.5,109.8125,-39.875
89.9375,93.9375,-34.8125
86.5625,80.4375,-29.125
83.1875,65.875,-28.125
82.1875,51.375,-28.8125
69.625,39.125,-20.625
70.0625,28.25,-10.5625
76.0,19.4375,-11.4375
69.5625,10.75,-8.5625
55.875,8.1875,-4.0625
55.5,10.8125,-2.1875
56.0,12.3125,-0.5625
34.5625,12.3125,-0.125
17.3125,10.0625,2.625
15.5,3.4375,-3.8125
23.8125,-2.8125,-4.8125
11.4375,-9.5,-3.5625
-13.5625,-22.25,-3.375
-8.0,-25.9375,-2.75
0.6875,-23.125,-4.1875
-15.625,-28.375,-3.4375
-21.25,-23.1875,-1.9375
-23.375,-17.0,-1.125
-22.3125,-6.75,-1.625
-21.5625,4.375,-0.5625
-26.3125,14.125,1.5625
-19.1875,27.9375,-1.75
-14.75,45.625,-6.125
-20.9375,70.125,-11.75
-32.0625,91.125,-12.8125
-38.3125,108.625,-16.375
-39.375,123.875,-25.1875
-35.0625,128.4375,-25.0
-27.375,130.6875,-30.5
-16.6875,123.125,-37.0625
-5.3125,103.875,-43.6875
10.5625,83.1875,-49.0625
35.6875,62.4375,-63.4375
50.5,32.0,-75.6875
37.5,-3.75,-94.0
18.1875,-29.125,-107.5625
7.875,-46.5625,-117.25
3.625,-56.25,-119.9375
-23.0,-49.6875,-117.875
-38.9375,-33.0,-96.1875
-37.1875,-8.75,-73.375
