EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
0,-1,1,14,5,1,0,0
-4,-1,-2,-1,-2,-1,-2,-1
3,0,-1,-4,-2,-2,-2,0
5,-2,-6,-9,-3,0,-1,2
-12,-2,-3,-5,-2,-2,-2,-6
2,-1,0,-3,-4,-2,0,2
0,0,1,4,5,1,0,-1
0,-1,1,0,0,0,-1,2
3,0,-1,-1,1,-1,-1,1
2,-1,-2,-1,-1,-1,0,0
-8,-2,-2,-3,-3,0,-1,-3
-3,0,2,2,0,-1,0,-1
6,0,-3,-3,-1,1,1,1
-17,-4,-2,-4,-1,-3,-2,-7
5,-1,-1,1,-2,-1,1,2
-4,0,0,1,1,1,-1,-1
1,0,0,-2,-3,0,1,0
-11,0,-2,0,0,-2,-1,-4
-1,-3,-1,-1,-3,-2,-3,-2
0,-3,-5,-4,-4,-1,0,-2
0,-2,0,-2,-1,-3,-1,3
6,-1,-3,-1,-1,0,1,0
0,-1,0,-1,-1,1,0,1
-1,0,-1,-4,-3,-3,-1,-1
-2,0,-3,-3,0,-1,-1,-1
-2,-1,-3,-4,-3,-1,-2,-2
0,-4,-2,-5,7,-1,-1,-1
-3,10,5,8,-1,-1,-1,-3
0,-8,1,-8,-5,-1,0,2
9,2,-1,3,-4,0,-2,-2
-15,-17,-7,-10,-1,-1,0,-3
-5,-6,-3,-4,3,1,-1,-3
10,16,0,-10,-5,-5,-1,-3
2,-2,7,18,0,0,1,2
-1,-4,-6,2,-14,-2,-2,4
9,-4,-10,-15,0,2,-5,-7
-2,8,5,9,8,3,2,0
4,30,-2,-16,10,-3,-4,-5
-6,-22,3,0,-18,-2,2,7
18,26,4,7,7,2,4,9
-17,-19,-7,-2,6,-4,-3,-4
-8,-17,-10,-16,-5,-1,-1,-4
4,13,2,10,8,-1,-4,-9
-2,-9,-2,-10,-19,-5,-2,-1
1,-5,-3,7,-7,-1,0,2
-6,-3,1,-7,4,0,2,1
-5,-10,-1,5,12,3,0,-1
4,15,-6,-20,3,-2,-1,-2
0,-10,8,11,-23,-3,-1,-1
15,-8,-6,20,24,2,-2,-3
-8,31,10,-1,3,3,-1,-3
0,24,4,11,9,2,2,3
-16,-31,-14,-30,-16,-1,-1,-6
4,-15,9,2,-13,-4,-2,1
3,-18,-6,-1,2,1,-3,-7
-12,-6,-2,5,8,-2,-4,-5
2,0,0,6,13,-1,-1,1
-11,-3,-6,-7,-12,-5,-4,-2
3,-6,-6,-2,-4,-4,-2,1
-4,-20,-3,-2,-3,-2,-3,-4
-1,10,-1,-1,3,3,-3,0
3,-17,0,-8,-10,-5,0,2
2,3,5,9,-4,2,2,4
0,16,4,-2,8,-1,-1,-2
6,-7,-2,-2,-13,-2,-1,-1
-11,10,-1,9,-5,1,1,1
3,-12,-6,-16,-7,-2,-1,1
9,-2,5,27,24,6,16,3
-19,-8,-5,-2,8,-5,-5,-5
9,37,0,-17,-16,-2,-9,-4
13,13,-1,-9,-18,-6,1,6
-1,-15,-1,-3,-6,1,-4,-5
9,8,-1,-2,1,0,0,2
-40,-23,-9,13,18,2,1,-8
1,-23,-5,-9,-14,-3,-7,-5
12,49,12,4,-16,-1,-2,6
15,7,5,23,27,2,-1,3
-12,-8,-5,-11,-5,0,5,-2
-8,-5,-5,3,9,1,0,-6
-17,-41,-6,-13,-20,-8,-13,-6
11,12,2,-8,-11,0,6,5
0,8,5,6,12,0,-2,-4
0,4,-1,-1,-2,-3,-3,-4
-9,-9,-8,-1,1,-4,-9,-4
4,7,-4,-2,3,-1,-11,0
7,-16,-1,-17,-24,1,8,6
-19,10,17,19,25,-8,-2,-11
-13,-17,-5,8,8,3,6,3
-7,-3,-1,-2,-5,-13,-12,-9
-3,-14,0,5,-1,9,33,7
20,19,-6,-16,-6,0,8,2
-15,-17,0,-1,-5,3,12,0
5,-6,-5,8,15,8,5,7
9,17,-3,-8,-10,-13,-24,-8
-10,-27,-5,4,6,-1,-10,-3
13,3,2,-2,-2,-9,1,4
-3,2,1,-11,-17,-4,0,-4
0,-4,-6,1,14,2,-2,2
-5,-13,-8,-7,-2,-3,-13,-1
13,48,1,-15,-9,-9,-49,-10
0,-4,6,11,0,-12,-10,-6
-17,-6,-6,-9,-7,10,11,1
-6,4,8,18,10,7,34,3
22,-11,-8,-5,-3,13,23,14
-15,-8,6,-5,-2,2,22,4
10,-16,1,5,3,-11,-47,-7
-18,-4,-13,-17,-15,-10,-24,-12
8,-2,1,0,0,-2,5,6
18,16,1,7,10,20,13,4
11,4,1,0,-3,-10,-3,0
0,8,-1,-5,-5,1,-15,-2
-18,-15,7,-5,-4,-8,-10,-8
-15,-31,-12,-4,-4,-1,-11,-3
6,2,-3,-1,5,8,10,3
8,-3,-5,-2,-5,-2,-2,0
-23,-14,1,6,3,7,12,-2
