Gyro_X,Gyro_Y,Gyro_Z
18.0625,-1.875,11.6875
19.0625,-2.25,10.75
20.0,-2.625,10.4375
18.625,-4.4375,10.125
19.6875,-1.875,9.9375
21.9375,-1.4375,10.8125
23.5,-2.375,11.5
23.875,-1.1875,12.0
26.1875,-2.8125,12.25
23.875,-1.75,11.8125
24.4375,-3.75,11.8125
23.1875,-3.125,11.1875
24.125,-5.125,10.5625
23.5625,-7.9375,10.4375
26.0,-6.375,8.375
32.1875,-6.625,9.125
39.8125,-4.625,9.0625
46.125,1.125,11.75
45.9375,14.5,12.9375
48.3125,37.1875,8.9375
62.1875,59.5,4.25
61.875,81.625,1.0
51.625,102.125,3.3125
50.375,124.1875,4.0
64.75,143.3125,2.0
67.1875,158.0625,-3.0
52.375,169.25,-7.3125
35.5625,173.8125,-10.375
35.5,174.0,-13.125
49.375,171.875,-17.3125
58.375,165.25,-20.0625
64.0,154.3125,-17.1875
74.5625,143.1875,-14.875
86.0,131.8125,-19.375
92.9375,117.6875,-25.375
82.375,96.6875,-25.5
60.4375,80.0625,-26.6875
64.6875,69.625,-32.3125
78.0625,61.75,-37.9375
61.5625,51.1875,-39.375
40.1875,41.8125,-38.9375
38.4375,37.8125,-38.5
38.625,38.5625,-35.8125
29.625,40.5,-30.125
28.625,37.125,-24.3125
33.6875,27.375,-19.1875
46.125,19.625,-16.4375
54.1875,10.25,-12.625
51.25,-0.375,-7.4375
58.5625,-8.0,-4.4375
63.9375,-12.25,-5.5625
46.25,-16.9375,-5.6875
28.5625,-18.375,-2.8125
26.75,-15.125,-3.6875
21.6875,-9.5625,-5.75
5.0,-1.9375,-9.125
-11.5,8.9375,-9.1875
-18.875,18.8125,-9.75
-11.3125,28.8125,-11.0625
-7.375,37.375,-10.5625
-7.5,41.0,-12.5
-10.3125,39.875,-14.125
-10.3125,35.5,-12.4375
-4.1875,31.875,-12.25
4.0625,28.5,-12.25
4.25,22.75,-10.75
0.8125,19.25,-8.0625
0.875,17.9375,-4.6875
-1.8125,11.875,-1.0625
4.3125,10.625,1.5625
