EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-2,-1,0,0,0,0,0,-1
-1,-1,-1,-2,0,-1,0,1
-2,-2,-1,0,-1,-1,0,0
1,-2,-1,-1,-2,0,-2,-2
-1,0,-1,-2,1,-2,-1,-2
-1,-2,-1,-1,-3,-2,0,0
6,0,-1,-3,0,0,1,3
-11,-2,-2,-2,-2,-3,-2,-2
5,0,-1,0,0,0,0,4
-4,-1,0,1,2,0,-2,-9
1,-1,0,-1,-1,-1,0,1
6,1,1,0,-2,0,0,-1
-15,-2,-1,-4,-1,0,-1,-6
1,-2,-1,-3,-2,-2,0,2
-1,-2,-1,-2,-1,0,-1,-2
2,-1,-1,-1,0,0,0,0
4,-1,-1,1,-2,-1,0,2
-1,-1,0,-1,1,-1,0,1
5,-1,1,-2,0,-1,-2,-3
-3,-2,-2,-2,0,-1,0,-2
1,-2,-3,-1,-2,-2,-1,-1
-4,-1,-1,-3,-3,0,-1,-2
0,0,-2,1,0,0,-1,1
4,-1,-1,-3,1,-1,-2,-1
-1,0,-2,-5,-3,-2,1,1
4,1,1,4,-15,-1,-1,2
-15,-2,-2,-7,9,2,-1,-7
-2,-2,0,2,-5,1,1,0
2,-5,-3,6,13,0,0,2
1,-2,-1,6,7,-1,-2,-1
5,0,-6,-5,-5,-4,-1,5
4,5,-2,-20,-14,-7,-5,-9
-7,-2,5,26,1,0,0,-1
-10,-3,-17,-34,-12,-4,-1,-2
0,-5,7,0,-6,-3,-4,-2
4,3,20,43,43,12,7,7
10,12,0,-4,-22,-4,-3,-1
-1,-11,-4,1,1,-3,-3,-7
1,1,-6,-6,-14,-3,0,0
16,34,-1,-36,-18,-3,-2,2
-2,0,2,19,19,3,-1,-5
-11,-23,-10,-3,5,-2,-2,-4
6,3,-1,-14,-5,-4,1,1
-8,-9,-4,1,-20,-4,-2,-3
-4,-3,-2,1,13,1,0,-1
1,3,2,0,2,0,-1,-1
-3,-7,3,-1,-4,0,-2,-3
-7,-8,-5,11,2,-3,-2,-2
-2,0,-3,-17,-9,-1,-2,0
-1,-2,2,0,6,-1,1,1
0,1,-1,-5,-7,1,0,-1
-5,2,-3,-6,-7,-2,-4,-4
-5,-6,-2,18,25,3,-2,-4
4,-2,7,1,6,-2,-4,-2
4,9,-1,-29,-39,-6,2,7
-16,-25,-3,21,30,3,-2,-6
3,17,4,-8,-10,-2,2,3
1,17,2,15,6,2,-1,-4
7,14,-3,9,13,-2,-4,-6
-2,-22,-7,-12,-12,-3,-2,1
-13,-26,-8,-16,-12,-6,-3,-4
11,15,4,0,-7,0,1,3
-7,-10,-2,8,9,0,-1,-3
-1,9,-2,-4,-7,-4,0,-1
0,-2,0,0,4,2,-1,-4
-3,-5,-2,-9,-13,-2,-1,1
0,-7,-1,3,10,2,-3,-2
6,5,2,5,0,-1,0,5
-9,-3,0,-14,-11,-1,-3,-10
0,-1,2,9,7,0,0,3
-6,-3,-3,9,11,0,-1,-8
1,-1,-2,-4,-3,-4,-2,-1
-4,-13,-7,-14,-11,-5,-1,3
-2,10,2,1,-6,0,1,-1
7,-18,-4,2,1,-3,-2,0
-6,9,5,4,7,0,-1,1
9,8,-1,-4,-11,-3,-2,-1
-1,1,0,-2,0,0,0,-3
-7,-9,-2,5,5,0,-1,-5
-9,-16,-7,-9,-7,-2,-1,-4
4,2,-3,-4,-2,-2,-1,2
0,14,1,0,1,0,-2,0
-2,2,1,-2,-1,0,0,-2
3,8,1,-1,4,0,0,-1
-1,-2,0,0,-1,0,0,1
11,-8,-3,-4,0,-6,-13,4
-24,2,0,3,-1,0,4,-10
-1,0,-1,-4,-3,-2,-1,-1
-7,-7,-5,-4,-1,-3,2,-10
-13,-10,-2,2,0,5,1,-5
35,18,-2,-2,-2,-13,-6,8
-37,-22,0,-2,-2,4,11,0
3,3,4,1,-1,0,-5,-1
6,2,-1,-12,-6,-7,-9,-3
-12,-13,-6,4,0,0,13,0
12,13,3,4,7,12,22,6
2,-6,0,-3,-1,4,2,2
-11,-10,-2,5,5,9,2,-6
-1,4,-4,-10,-6,0,9,4
3,-1,-1,-5,-5,-14,-17,-3
3,8,4,6,0,4,12,4
-11,-6,3,1,10,0,4,1
1,-8,0,3,0,-1,3,2
-1,-3,-20,-22,-12,11,-19,-5
-1,8,14,-2,4,-6,0,2
13,8,11,35,12,5,13,6
-21,-26,-2,6,3,4,-13,-8
0,-11,3,25,10,11,13,3
33,46,-1,-21,-9,-11,-10,6
-3,-18,-16,-25,-13,-13,-9,-4
-11,18,5,12,7,5,-8,-4
-7,-29,-9,-16,-12,-17,-50,-15
-4,-5,-6,0,-2,6,32,4
5,9,9,10,5,7,0,8
-9,-14,-4,-6,-1,6,9,0
6,11,-6,-18,-6,-6,-13,-3
-4,3,-1,-4,5,0,-27,-9
-9,-16,-6,-18,-14,-15,-19,-2
0,16,8,14,12,7,0,-2
27,16,13,33,22,23,56,26
-12,-11,-9,-34,-20,-20,-12,-10
-9,-1,-8,-3,-14,-6,-8,-11
-15,-34,-6,-23,-15,-10,-16,-6
19,21,9,18,6,-5,31,11
-5,-3,-11,10,0,-2,-4,-2
-3,13,-3,-10,1,-6,-14,-9
8,-7,-5,-5,-14,-5,10,-1
1,17,2,-8,-9,-17,-69,-21
-27,-31,-10,4,2,-7,16,-1
25,27,18,6,10,21,50,19
2,-4,-3,19,6,1,-10,0
-4,-11,-9,-10,-8,2,12,1
-8,-7,-5,-3,1,2,-40,-23
-4,-7,0,1,-3,-5,18,4
8,13,4,6,12,20,21,8
10,9,1,-6,2,-1,36,35
36,23,9,18,8,8,-1,14
-26,-37,-16,-12,-11,-9,-24,-50
0,3,2,-16,-9,-12,-13,-4
-12,0,-4,2,3,-3,-4,-10
-6,-13,2,6,4,4,10,6
1,3,3,6,10,6,1,9
12,14,-16,-6,-6,3,-15,-4
-11,-20,-11,-65,-33,-32,-43,-25
1,8,48,97,64,25,68,24
-3,-9,-8,-8,-11,-10,7,1
1,8,-2,-7,-8,-16,-14,-9
-14,-12,-11,-2,-8,12,-3,-6
6,-9,-20,-44,-31,-9,-29,-10
