Gyro_X,Gyro_Y,Gyro_Z
14.125,-28.5625,25.5
18.0625,-36.0625,26.5625
18.25,-45.1875,28.875
14.1875,-53.125,29.5625
10.625,-61.1875,33.5625
6.25,-66.25,33.75
1.625,-70.625,30.125
-8.5,-72.4375,27.3125
-8.625,-78.8125,22.5
-14.75,-86.0625,18.625
-2.0,-92.9375,12.75
6.625,-91.125,10.3125
28.125,-85.4375,8.4375
31.875,-75.0,8.375
31.75,-71.4375,2.5
19.25,-70.3125,-0.125
12.0625,-67.375,-4.3125
24.5,-61.0,-4.1875
40.25,-57.9375,1.75
59.0,-49.3125,3.6875
66.9375,-28.8125,2.25
47.0625,-10.3125,1.4375
25.3125,1.5,4.0625
23.625,13.1875,4.3125
26.9375,34.125,-4.0625
29.6875,60.0,-11.1875
57.625,87.6875,-15.875
81.125,121.625,-20.25
78.625,160.25,-28.25
74.3125,189.375,-36.4375
68.8125,209.5,-44.75
55.6875,221.1875,-52.4375
45.6875,224.8125,-59.125
48.3125,221.1875,-62.25
60.9375,214.8125,-66.5625
72.125,203.4375,-70.375
79.75,186.5,-69.4375
88.3125,170.125,-69.625
87.0,152.5,-68.0625
81.0625,134.25,-63.5
73.875,112.75,-54.75
74.75,91.9375,-50.8125
83.875,73.375,-49.5
70.9375,53.25,-44.9375
48.75,29.75,-38.375
45.3125,12.0,-35.8125
42.75,-0.75,-42.625
9.375,-17.125,-49.25
14.25,-26.6875,-47.4375
38.125,-32.6875,-39.9375
34.25,-32.125,-33.0625
10.875,-28.8125,-26.4375
11.6875,-22.8125,-18.8125
16.375,-13.75,-12.8125
9.5625,-8.3125,-6.75
17.375,-3.375,-3.875
32.8125,3.1875,1.125
36.5625,13.875,8.875
36.1875,28.5625,14.375
35.9375,47.25,17.875
30.625,67.75,18.875
24.125,86.875,22.9375
