EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-1,-2,-1,1,3,-1,-1,0
0,-1,-1,3,4,0,1,-1
0,-2,1,-10,-16,-2,1,1
0,1,0,10,15,1,0,1
-4,-2,-2,-3,-3,-2,0,-3
-1,-1,-1,-2,-2,-1,-1,1
-5,-3,-3,-2,3,-1,-2,-3
0,-1,-2,-6,-6,-2,-2,1
1,-2,-3,-2,0,-2,-1,1
-6,-3,-1,-2,1,-1,-1,-3
1,0,-2,-4,1,-1,-1,0
1,0,-1,0,-13,-3,0,-1
2,0,1,2,4,1,-1,-1
1,1,0,-2,0,2,1,-1
2,1,-1,10,10,-2,0,1
-7,-2,-2,-16,-12,-3,-1,-2
0,1,0,-4,-13,-1,0,0
4,2,1,12,16,3,0,0
-6,-3,-3,1,1,-1,-2,-3
-8,-6,-4,-1,2,-2,-5,-9
-1,-3,-3,-8,-13,-4,-1,0
3,-2,-3,-4,-9,-2,-2,1
9,3,4,-6,-4,-1,1,4
3,2,2,14,-6,1,0,-4
3,2,2,13,13,-1,-1,0
4,2,1,-11,-22,-3,-1,-1
2,-1,-1,9,18,1,0,0
7,14,-3,-8,-3,-1,-1,4
-8,-1,-1,3,5,-2,-3,-9
0,-4,-3,-4,1,-4,-4,-2
-4,4,5,1,-18,-2,0,0
1,1,1,3,6,0,0,1
-9,-7,-6,-6,-2,-2,-2,-2
-5,-10,-5,-5,4,-1,-2,-3
-10,-1,-5,-16,-34,-6,-2,-4
17,20,10,11,12,5,1,4
-6,-30,-4,-16,-4,2,1,3
8,38,6,15,16,1,1,0
-4,-39,-6,-20,-1,0,1,1
13,18,0,13,23,3,-1,1
-6,13,6,-2,-8,0,-1,0
-5,-19,-5,1,-5,-2,-2,-1
4,9,-3,2,14,0,-1,-2
-13,-20,-6,-13,-15,-4,-5,-7
5,-6,-3,-2,-3,-1,-1,3
-1,-3,-4,0,-6,-3,-1,-1
-5,10,0,3,-1,-2,-2,-4
-7,-13,-3,-5,-18,-4,0,-4
4,9,1,8,18,1,0,0
0,-5,3,2,-9,0,0,1
4,5,-1,-7,-16,-3,-4,-2
-12,-7,0,3,23,0,-1,-1
4,6,1,-2,-9,0,0,-1
-5,-14,-5,8,19,2,0,-3
4,1,-2,-5,12,-3,-2,-1
-3,-3,0,-22,-53,-7,0,0
7,5,1,9,12,2,-1,3
7,5,-1,2,17,1,-1,0
-8,5,1,10,1,1,-3,-3
-2,-7,-5,-6,4,-3,-4,-4
-2,-6,-4,-10,-20,-7,1,2
-2,-7,1,-4,-20,-3,-1,0
7,0,-1,12,25,2,1,3
-4,-6,-1,-6,-16,-4,0,-2
-2,-1,-4,-1,5,-1,-3,-4
-2,0,-1,0,-1,-4,-3,-3
-4,-1,-1,-10,-19,-3,1,-3
1,-2,0,10,16,2,-1,0
2,-4,-1,-15,-13,-4,-2,3
-12,3,-1,3,-2,0,1,-5
-7,-7,0,2,5,1,-2,-3
-5,-2,1,10,4,0,0,-2
2,-10,-6,-5,-4,-3,-4,-3
-13,6,2,-6,-10,0,-1,-3
17,21,5,2,1,2,2,9
6,-29,-5,2,13,3,7,3
-6,34,2,0,-6,-3,2,-1
-13,-15,-5,-7,-2,1,-4,-9
9,-10,-6,0,1,-3,-4,-1
-9,-7,-1,-1,2,2,-4,-3
11,-6,-3,1,-7,-7,-12,3
3,-2,1,-3,6,5,6,4
-4,-1,-7,-10,-10,-3,-2,-2
-2,3,-4,-12,-7,-3,-5,-5
0,2,12,25,13,5,1,-2
9,1,-3,-2,-3,-4,-5,1
-11,-12,-2,-1,-4,0,1,-2
-5,5,-5,-3,-10,-4,-4,-7
-7,-7,-5,-7,-4,-2,-7,-5
1,1,-1,-6,-6,-10,-7,-2
7,-13,-1,1,-8,-8,-10,5
-34,1,-5,-5,-6,-6,-14,-17
-6,-21,-8,-3,5,16,40,6
13,18,7,9,6,2,11,5
-7,-6,-5,-8,-10,-13,-20,-11
6,-1,5,2,0,5,-2,2
-3,2,-3,0,-5,-9,-22,-10
-2,-7,-10,-8,-3,-2,1,4
1,-1,6,12,12,9,8,1
9,2,4,3,-1,-4,-3,4
4,9,-2,-4,-1,0,3,0
-1,-10,-2,-3,-4,-3,-1,2
-5,7,0,7,5,1,-6,-6
1,0,-3,-1,0,-2,7,1
-2,-4,-4,-7,-11,-6,2,0
-3,3,-2,-4,-3,1,-3,-4
-5,-6,0,-1,1,-13,-16,-7
-1,-1,-4,0,1,12,43,5
0,2,1,-4,-2,-1,-5,4
1,-1,-1,1,2,-1,4,5
11,15,12,15,21,29,4,8
-10,-27,-7,-4,-5,-12,-22,-10
16,22,4,-1,5,-4,-23,-3
-21,-20,-2,-2,-4,-7,-17,-10
5,0,-3,-5,-3,6,28,8
-7,-3,0,0,-5,-5,-14,-3
6,-2,-1,-1,3,6,3,-2
5,8,2,-6,-1,3,6,2
-11,-11,-7,-15,-8,-7,6,-2
12,16,6,-6,-2,-7,-4,0
-10,-5,0,8,-6,-11,-18,-14
1,-15,-15,-3,6,7,-34,-5
-14,0,-7,-24,-5,13,-13,-23
-7,-13,11,21,24,42,60,21
22,16,16,9,10,-13,87,37
13,5,20,39,36,31,16,10
10,3,-14,-13,-14,-5,-15,6
-4,9,-11,-26,-17,-19,-72,-25
0,-21,6,16,39,30,-37,-10
-4,-1,0,1,-5,9,45,6
-12,-16,-2,2,-4,-12,13,-6
-2,-3,-14,-5,-11,-24,-49,-20
-18,-15,-9,-20,-20,2,-2,3
15,15,-3,-9,-15,-26,-11,-7
-39,-20,-3,2,2,-9,-44,-21
15,5,-8,-11,-10,-1,25,16
-19,-6,-12,-24,1,1,-15,-19
-14,-40,6,3,5,17,23,18
40,64,20,14,-6,-16,-27,-22
-45,-31,5,11,0,-10,25,3
11,13,6,13,8,24,67,23
-5,25,-1,1,-8,-21,-41,-26
-15,-21,-19,-19,-17,-10,-23,5
