Gyro_X,Gyro_Y,Gyro_Z
23.6875,-3.3125,17.1875
27.0625,-3.625,15.5
27.8125,-4.0,13.375
28.0625,-5.4375,11.8125
24.4375,-4.5625,9.25
25.75,-3.4375,7.4375
28.0,-4.75,6.0625
25.6875,-3.8125,5.125
31.875,-5.5,3.875
28.6875,-4.6875,4.5
38.125,-4.375,4.4375
37.0625,-2.8125,6.9375
44.875,0.4375,10.4375
46.75,7.3125,16.0
45.9375,11.9375,19.875
38.3125,23.75,27.125
53.9375,37.5625,32.375
82.8125,55.0625,34.25
90.9375,75.875,32.4375
91.125,94.9375,33.5625
103.5,113.4375,34.6875
119.0625,130.8125,34.0
124.875,150.5625,28.9375
122.5,166.875,25.9375
111.5625,179.625,23.6875
102.5625,191.0,22.5
99.4375,199.1875,21.0625
94.75,204.6875,16.5
88.875,204.25,17.25
98.5625,199.3125,15.8125
113.75,196.1875,6.0
104.6875,188.0,-5.1875
89.75,171.625,-7.3125
86.0,155.75,-9.5625
84.3125,143.0,-13.1875
80.9375,128.875,-16.9375
77.9375,112.0625,-20.5
71.375,96.8125,-22.9375
64.125,87.0625,-20.5
65.0625,76.8125,-18.375
69.0625,62.25,-14.5625
79.25,49.3125,-11.9375
91.75,40.6875,-14.625
88.0625,34.1875,-17.375
57.1875,24.1875,-16.0625
48.25,15.875,-12.0
66.9375,9.4375,-9.3125
63.1875,1.75,-9.5
50.8125,-1.5625,-7.4375
46.375,-1.875,-6.4375
35.875,-5.75,-6.6875
18.3125,-9.8125,-6.1875
11.375,-8.5,-3.8125
12.5,-6.5,1.5625
2.4375,-9.5,4.875
-10.125,-14.5625,6.875
-0.75,-14.625,10.6875
9.625,-15.125,10.6875
2.5,-18.125,7.875
