Gyro_X,Gyro_Y,Gyro_Z
31.4375,-0.0625,12.625
31.3125,0.125,12.5
29.8125,0.25,14.3125
30.0625,0.375,12.4375
29.375,0.0625,11.9375
29.4375,1.0,11.75
31.375,-0.25,11.625
26.5,1.0625,11.875
31.3125,0.625,10.9375
25.25,1.4375,11.25
28.1875,1.5625,10.25
24.5,1.25,9.8125
29.25,1.875,8.0625
25.4375,0.75,7.0625
25.0625,1.9375,10.0
31.3125,8.0,17.8125
40.5625,20.5625,21.4375
53.1875,33.375,23.6875
58.4375,51.0,27.6875
57.9375,74.4375,31.5625
58.25,96.1875,29.625
68.6875,116.75,28.3125
80.5625,140.375,28.5625
85.1875,165.25,25.0625
78.375,183.875,19.1875
71.25,195.625,14.6875
75.875,203.125,11.25
82.0,208.3125,2.875
80.0,206.125,-4.8125
78.4375,196.3125,-7.75
78.5,185.0,-9.9375
79.4375,174.0625,-14.25
81.75,160.375,-19.5625
82.375,141.125,-20.6875
81.5,123.25,-25.25
81.75,106.0625,-28.3125
79.3125,87.0625,-30.625
73.8125,68.75,-33.5
70.3125,56.0,-33.25
65.875,44.25,-33.375
56.1875,29.5625,-33.5
51.0625,21.0,-31.5625
50.3125,16.9375,-26.3125
45.5625,10.9375,-27.6875
29.5625,0.125,-26.6875
23.4375,-19.75,-26.125
19.4375,-42.1875,-28.5625
27.8125,-55.375,-30.0
35.8125,-63.125,-27.5625
25.6875,-67.75,-23.625
18.0625,-65.5625,-19.75
8.8125,-59.5,-15.3125
3.6875,-50.75,-12.75
6.4375,-38.6875,-6.625
1.75,-28.3125,-3.0
2.3125,-20.5,-1.0
8.0,-12.375,3.3125
10.8125,-4.5625,6.9375
11.8125,-0.5,9.75
13.0625,3.8125,10.125
