EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-1,0,0,-1,1,0,1,1
1,-2,-1,-1,-2,-1,0,0
-1,1,-1,-2,-1,-2,1,0
1,-2,-1,-1,-2,-1,0,0
2,-1,-1,-2,1,-2,1,0
-6,0,1,0,1,0,-1,1
-1,-3,-1,0,0,-2,0,1
-2,-2,-2,-2,-1,-1,-2,-2
-1,-1,-1,-1,0,-1,1,1
2,-1,0,0,1,-1,0,2
1,-2,0,0,-1,-1,0,0
-1,0,0,-3,-2,0,0,1
0,-2,-2,-2,-3,1,1,-2
0,-1,0,0,0,-1,0,1
-1,-1,0,0,0,2,-1,0
0,-1,0,0,-1,-2,-1,-2
1,-2,0,1,1,-2,0,1
-2,-2,0,-2,1,-1,0,-1
-1,0,0,-2,-1,-2,-1,-2
-1,1,-3,0,-2,-2,-1,-3
-3,-1,-1,-1,-1,0,0,-2
-2,-2,-3,3,8,-1,-1,-2
-3,-3,-3,-5,-2,-7,-2,-2
-3,1,-2,-27,-33,-3,0,2
2,2,5,13,0,3,1,-2
1,1,2,14,24,4,0,-1
3,-7,0,-11,-1,-1,0,2
-7,4,-4,-5,-25,-4,-2,-5
-1,-4,3,16,35,5,1,1
-6,-12,-5,-2,-5,0,-2,-1
3,8,1,6,7,-1,0,0
0,0,-2,4,3,-3,-2,-1
0,1,-4,-21,-21,-5,-4,-1
-12,-5,-3,4,-8,-5,-4,-5
3,-9,-3,1,6,0,0,-2
4,3,0,-11,-10,1,2,1
-2,-3,0,8,5,0,-1,-1
5,3,0,0,13,-2,-4,1
-5,5,-7,-1,-11,-1,-1,-1
-4,-16,-11,-7,10,-4,-2,-1
24,30,11,0,-31,-2,2,5
-14,-8,2,-23,-23,0,-4,-9
10,22,12,38,36,8,0,5
-1,-9,-3,18,37,2,-1,-1
1,-10,-9,-35,-27,-8,-2,3
-4,9,3,12,-8,-1,-1,-10
-12,-7,-2,-5,-8,-1,-1,-2
3,-5,-1,5,5,-1,-1,-1
0,0,-7,-10,3,-6,-2,0
11,3,-4,-8,-13,-6,-3,2
-9,-8,12,19,8,2,-2,-3
-1,4,1,-8,-43,-2,0,-2
-12,-15,0,-4,30,7,0,-3
4,16,0,12,6,-1,4,9
10,1,-5,-14,-9,-3,-3,-4
-2,-3,3,1,4,-2,-2,-6
-1,1,2,16,8,0,1,1
-18,-12,-5,-1,0,-3,-4,-9
-3,-30,-9,-30,-16,-7,0,3
13,42,9,7,1,1,1,5
-6,-11,-9,-2,-2,0,-1,-4
3,-5,-1,-5,8,1,-1,0
-6,-2,-3,-8,-16,-2,-3,-2
1,-11,0,-1,-1,0,0,0
-12,-8,-1,13,11,0,-3,-4
9,4,0,-13,-14,1,-1,4
16,-1,-3,4,6,0,0,2
-22,-25,-8,-8,4,-3,-2,-4
1,20,8,8,3,0,-3,-3
-3,5,0,-5,-8,-3,0,-1
8,5,-6,-3,-7,-1,-2,0
-15,-9,-2,7,21,1,0,-1
11,-16,-5,-8,-13,-4,0,3
-4,-19,-2,2,2,1,-1,0
-11,9,0,-1,0,-1,1,-3
3,-5,-1,-7,-4,0,-4,-3
-4,4,0,1,-12,-2,-1,0
8,3,1,3,10,1,1,1
-9,-5,-3,-4,-5,-2,-2,1
1,0,1,1,2,-3,-6,-6
5,-5,-3,-2,-8,0,0,1
-2,-2,-3,-3,1,0,-1,3
-11,-20,-6,-8,-3,-1,-2,-4
5,22,9,17,5,1,2,-1
-7,3,-4,-3,-3,-2,-6,-12
4,13,5,-1,-3,-1,4,0
-2,-4,-6,-3,-1,0,-1,0
2,-21,-1,-1,-1,-4,-3,5
7,24,3,-7,3,3,3,2
-3,-11,-7,14,8,0,-5,-1
-1,11,2,0,-2,-3,6,0
-4,-12,-3,1,1,0,-2,0
-6,0,-6,-7,-5,-5,-12,-3
4,6,2,-17,-9,1,2,1
-2,0,-2,11,3,-1,-2,-1
5,-6,-9,-16,-5,-14,-7,-2
-10,-2,7,-13,2,9,-1,-1
2,0,12,36,17,6,10,3
5,13,0,2,-1,8,19,4
5,-5,-5,-2,1,0,11,6
-11,-11,-4,-14,-12,-16,-22,-12
5,12,-4,-11,-4,-1,1,0
-14,-19,6,6,4,3,-4,-7
2,6,-6,-1,-5,-3,0,2
11,-4,-4,-4,-1,2,19,7
2,7,-4,-16,-9,-4,-4,-3
5,18,2,-9,-5,-12,-19,-5
-17,-10,-12,-13,-14,-16,-30,-7
5,-4,11,8,33,53,64,12
0,-3,1,4,1,-5,1,1
9,9,1,-8,-5,-6,-17,2
-9,-4,1,12,10,6,-6,-6
-5,-2,-7,-1,-9,-12,6,4
