Gyro_X,Gyro_Y,Gyro_Z
44.75,-50.5,27.5
28.1875,-63.4375,21.875
21.4375,-80.75,18.1875
18.0,-91.9375,17.1875
21.1875,-102.25,16.875
26.75,-111.375,12.875
27.8125,-116.5,8.0
32.375,-121.125,4.5
23.5625,-114.3125,1.375
22.75,-102.9375,-3.375
14.5,-94.1875,-7.9375
4.9375,-88.8125,-12.375
-8.125,-84.375,-14.3125
-20.8125,-73.75,-16.5625
-37.8125,-65.3125,-17.875
-60.4375,-58.5625,-17.4375
-74.75,-52.8125,-15.875
-70.5,-46.4375,-12.75
-47.4375,-38.875,-10.0
-25.5,-30.5,-9.3125
-12.625,-22.0,-7.625
-4.625,-15.4375,-4.8125
5.0,-9.3125,-2.0
17.125,2.5625,2.0625
17.75,20.9375,4.9375
24.3125,44.1875,3.8125
43.25,70.4375,4.4375
46.9375,101.875,-2.0
27.0625,131.4375,-10.875
12.75,154.3125,-14.1875
12.875,173.25,-16.6875
27.5625,190.0,-24.4375
45.8125,200.5,-34.1875
51.75,206.1875,-45.375
46.5625,206.5,-52.5625
48.4375,200.75,-59.4375
54.8125,191.875,-65.5
55.6875,180.125,-69.25
51.0625,168.0625,-69.125
45.9375,156.25,-67.3125
47.5,139.5625,-64.125
55.6875,121.4375,-61.5625
69.6875,104.25,-57.0625
80.6875,88.9375,-54.3125
76.75,73.0625,-53.4375
72.875,56.875,-49.0625
72.625,40.25,-42.5625
68.0625,27.3125,-34.875
70.375,15.125,-29.625
58.1875,1.4375,-26.8125
38.125,-9.75,-18.3125
50.1875,-16.3125,-8.5
51.0625,-21.75,-4.5
25.4375,-27.0,-0.8125
12.25,-31.9375,5.6875
13.3125,-34.4375,6.75
17.1875,-35.375,11.5
1.3125,-38.3125,14.8125
-0.4375,-37.9375,18.625
-0.3125,-37.25,21.25
-9.1875,-36.125,21.125
-18.5625,-37.8125,22.4375
-13.625,-36.1875,22.25
-15.5625,-36.4375,18.0625
-21.125,-29.5,14.9375
-24.6875,-20.125,13.75
-21.5,-12.5625,13.25
-3.8125,5.625,13.0625
6.125,25.8125,16.6875
19.6875,50.4375,19.25
39.1875,77.8125,20.875
51.8125,111.0,23.5625
56.1875,142.625,28.4375
56.5625,164.875,30.125
66.625,180.0,30.875
76.4375,192.25,30.4375
79.375,203.0625,33.5
78.625,207.5625,33.125
73.9375,203.4375,27.5
69.5,190.875,29.5625
75.75,176.6875,23.6875
