Gyro_X,Gyro_Y,Gyro_Z
25.6875,-4.375,8.625
24.25,-2.5625,8.9375
23.0625,-1.6875,10.25
22.5,0.6875,9.375
26.125,2.6875,9.3125
19.3125,5.125,9.8125
22.4375,6.8125,9.6875
16.3125,8.4375,9.9375
21.8125,9.6875,8.75
17.0625,10.625,8.875
22.4375,11.6875,8.6875
20.375,13.875,11.625
27.5,18.625,14.75
23.75,34.3125,24.25
24.625,52.5625,28.0625
39.9375,71.9375,25.375
59.75,91.75,19.0625
66.1875,110.5625,13.0
63.1875,127.125,9.0
71.625,143.1875,5.4375
85.375,158.1875,-3.625
78.625,167.4375,-13.0
61.0625,171.75,-17.625
57.75,174.4375,-20.1875
70.5625,173.125,-23.8125
75.5625,170.0625,-30.5
68.5,164.8125,-33.5625
64.6875,157.375,-37.1875
64.6875,149.625,-31.1875
66.75,141.0625,-30.5625
66.5625,130.6875,-28.6875
63.0,115.1875,-24.125
57.625,99.0,-21.1875
51.625,86.6875,-22.9375
49.4375,67.375,-20.9375
46.125,45.5,-18.625
45.625,28.625,-23.5625
51.4375,19.75,-30.8125
45.75,12.375,-34.625
45.1875,9.6875,-34.0
58.6875,18.0,-34.1875
25.0625,23.6875,-36.875
-16.5625,24.375,-34.125
8.75,25.875,-29.8125
36.0,29.75,-27.625
22.0625,27.4375,-26.75
4.5625,13.6875,-20.5
11.75,-1.1875,-15.75
26.625,-11.5,-13.875
27.5625,-17.5,-13.6875
17.9375,-25.25,-11.375
10.75,-33.5,-9.3125
21.0,-33.1875,-10.9375
23.5625,-29.4375,-11.0625
7.3125,-29.3125,-6.9375
-0.5625,-25.3125,-3.1875
3.5625,-21.0,0.625
2.875,-15.8125,2.375
-5.3125,-12.5,4.25
-6.875,-9.9375,5.75
-2.0625,-7.375,7.25
-4.1875,-5.75,6.75
-8.6875,-4.375,5.375
-9.75,-3.0,4.5625
-6.1875,-1.875,4.0
-3.625,-0.1875,2.75
-5.125,3.875,1.375
-10.4375,10.1875,-0.4375
-8.1875,18.375,-1.0
-1.0625,27.125,-2.375
7.1875,37.0,-5.8125
