EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
0,-1,-2,-1,1,0,-2,-1
-2,-3,-1,-2,0,-1,-2,0
0,-1,-2,-2,-1,0,0,-1
0,0,-1,-2,-1,-1,-1,0
0,0,-1,-2,-2,-2,-1,-1
-1,-1,0,-1,-1,1,-1,0
-1,-1,-1,-1,-1,-2,-1,-1
-1,-1,-2,-1,-3,0,-1,0
0,0,0,0,1,-2,-1,0
2,0,-2,-2,0,-2,-2,-2
-2,-1,0,-1,-1,-1,-1,-1
2,-3,-1,-1,0,-1,0,1
0,-2,0,-2,-2,-1,-1,-1
1,0,-1,-2,-1,0,0,1
-1,0,-1,-1,0,0,-3,-2
-2,1,-2,-1,-1,-3,-2,-4
-2,-1,0,-1,-2,-2,0,0
-1,-1,0,0,1,-1,-1,0
1,0,-2,-1,0,-2,-2,-1
0,0,1,-1,0,0,-1,-1
3,-2,-1,-1,0,0,-1,0
3,-1,-1,-1,-2,-1,0,1
-11,-5,-1,0,0,-1,-2,-2
2,-1,-1,0,-2,-1,-3,-2
-5,-2,-3,-1,-2,-1,-1,-2
4,1,-2,0,-3,-1,1,1
2,2,0,0,-1,-1,-1,-1
-5,-2,-2,-3,-1,-2,-1,-2
-1,-3,-1,0,2,-2,-1,2
2,0,-1,-2,3,-1,-2,-3
4,0,-4,-17,-20,-3,-3,-2
-9,-3,4,12,4,1,0,-1
4,-3,-7,-3,5,-3,-1,-2
-9,-1,3,-16,-11,-1,-3,-2
-1,4,20,53,17,7,4,4
10,0,-1,-1,8,0,0,1
-8,7,2,7,-3,0,0,-5
1,-13,-11,4,4,-3,-4,-1
0,-6,-15,-28,-8,-6,-4,-3
1,1,-6,-23,-15,-5,-2,0
-3,-4,5,9,6,-2,-1,1
1,7,7,6,-9,-1,1,-4
-4,0,-8,-13,-9,-3,0,-3
2,-14,-5,5,5,-1,1,2
5,-7,-4,-48,-44,-8,-6,-3
3,21,6,12,-2,3,0,-4
4,-2,0,12,37,3,2,5
2,29,2,10,13,2,0,0
1,6,-6,-6,3,-2,-1,-1
0,-3,-2,-1,-1,-3,-1,4
-1,0,1,2,-20,-3,1,-1
14,4,1,-19,-5,-3,-3,-2
-7,-10,-4,-1,3,1,-2,-3
4,-4,-1,5,4,0,1,3
-15,-10,-10,-15,-1,-6,-6,-12
-4,-3,5,-18,-20,-2,-1,1
2,8,8,24,-14,4,2,1
-2,-4,0,-2,28,3,1,0
5,-1,-2,3,10,0,0,5
-4,1,-3,10,-2,-3,-2,-4
5,-3,-4,-8,10,-1,0,0
-17,-7,-4,-3,-7,-1,-1,-3
11,14,13,9,5,4,3,4
5,13,-1,-6,-13,-1,1,1
4,-1,-1,7,23,1,-2,0
-9,-9,-2,-4,-5,-1,0,2
-11,-6,-5,-3,-5,-4,-1,-2
-1,-4,-5,0,-2,-2,-5,-9
-11,-1,4,6,2,0,-1,-4
12,14,-1,-21,-10,-3,1,0
-22,-20,-3,8,5,0,-3,-4
-5,-9,-3,4,-8,-1,1,2
-4,-5,-11,-10,-4,-5,-2,-3
10,8,12,1,5,0,1,3
-12,-28,0,0,-7,4,0,-5
2,-2,-8,-17,2,-4,-3,-5
20,29,5,16,3,0,-1,1
13,12,-10,5,2,-1,11,6
-1,-18,2,14,8,-2,-1,7
-28,27,11,5,0,2,-3,-17
18,10,0,-7,-15,-2,-7,9
24,-9,-8,-11,6,8,5,-2
-19,7,-4,-8,-7,-4,11,1
3,-29,-10,-3,1,-4,-3,4
-26,-8,1,-3,0,-4,-7,-8
-1,-1,4,4,-4,-4,-12,-2
20,15,0,-9,-7,-4,-7,-3
0,-6,-2,3,3,-2,-8,1
-10,-23,0,-1,8,1,-15,-5
-22,-13,-4,4,-5,14,6,-5
17,2,-1,-7,-5,7,35,7
-7,-2,-1,-8,-5,-8,-14,-4
-4,11,2,5,-2,1,24,5
-5,-15,-5,-5,-5,8,51,10
-3,4,-5,5,5,9,11,-3
4,9,4,-6,-1,-4,5,6
1,-9,5,16,0,-6,-15,-8
-21,-13,-5,-4,-5,-14,-49,-12
3,5,-4,-11,-6,-12,-6,-10
0,-12,-1,16,0,0,0,2
2,6,-3,-3,9,4,2,0
