Gyro_X,Gyro_Y,Gyro_Z
-0.6875,18.3125,10.375
-2.875,17.75,11.1875
-2.125,17.3125,11.75
-2.0625,15.5,13.375
4.375,16.125,15.0625
11.4375,13.9375,15.125
7.6875,13.25,16.0625
15.4375,10.3125,15.3125
13.0625,8.1875,14.8125
20.4375,4.875,12.1875
12.9375,4.0625,11.4375
16.625,2.0,10.0625
11.9375,1.25,8.875
15.375,-0.8125,6.1875
12.3125,0.5,8.0
8.4375,1.375,7.5
8.0,2.4375,7.5
11.4375,4.6875,10.6875
18.6875,7.5,17.125
34.5625,15.1875,21.0625
48.375,33.8125,22.1875
59.1875,49.375,23.6875
66.125,66.5625,19.0625
63.75,91.3125,9.3125
60.3125,115.3125,3.6875
70.125,137.625,-0.0625
81.3125,155.625,-3.1875
85.8125,171.125,-10.0
82.0625,180.75,-18.5625
75.3125,184.125,-25.3125
82.0625,183.4375,-31.375
88.9375,179.1875,-35.4375
94.8125,172.9375,-38.0
97.4375,163.4375,-46.5
91.375,153.1875,-47.125
83.125,144.0625,-44.75
87.75,132.9375,-45.125
101.125,121.0625,-45.6875
96.75,106.0625,-44.0625
84.125,92.25,-38.0
74.0625,80.1875,-37.125
58.125,64.1875,-35.0
45.5,47.1875,-28.25
35.0,35.0,-23.3125
34.9375,22.4375,-19.9375
18.625,3.25,-19.125
21.6875,-9.125,-19.3125
32.6875,-14.3125,-13.8125
26.375,-17.625,-13.9375
15.5,-18.0,-13.0
3.0625,-17.0625,-12.5625
-7.5,-15.875,-12.5
-2.625,-14.1875,-9.6875
-0.0625,-11.8125,-6.0
-1.5625,-8.5,-2.5
-1.875,-6.9375,2.875
9.375,-5.3125,5.5625
14.875,-3.5,7.25
11.0625,-3.375,7.75
8.9375,-2.75,7.1875
6.0625,-2.375,5.75
1.0,-0.875,3.9375
0.125,3.3125,3.125
1.0625,9.6875,1.4375
5.5625,21.0625,-2.75
7.5,33.8125,-9.6875
7.0625,47.375,-19.125
5.8125,64.75,-31.8125
