EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-2,-2,-2,-2,1,-1,-2,-2
-2,-3,-3,-3,-9,-3,-1,-2
-1,-1,-1,-1,4,-2,-1,0
1,1,-4,-9,-17,-3,0,-1
3,-1,0,-2,0,1,1,0
0,-1,0,8,8,0,1,0
-1,0,1,-6,-4,-2,-2,0
0,0,1,15,19,1,1,1
-1,-1,-2,-7,-11,-3,-3,-2
-2,-1,-3,-2,12,0,-2,-4
-1,-5,-7,-4,-8,-7,-3,-2
-4,-3,-3,-12,-27,-6,-3,-1
-3,-1,3,1,1,1,0,0
0,-1,-2,2,-3,-2,-1,-1
-9,-7,-2,2,18,2,-4,-6
3,2,-1,0,-12,-5,-2,0
-7,-11,-3,-3,-6,-1,-2,-4
3,2,-1,-2,4,3,1,0
-1,-4,-3,-4,-2,0,-2,-6
2,9,1,2,10,-3,-1,0
0,-10,-6,-11,-19,-4,0,-1
-17,-17,-5,-9,-7,-3,-1,-5
10,19,11,22,9,3,3,3
0,7,5,14,19,3,0,0
-3,-10,-3,6,-2,-1,-2,-3
0,13,3,0,-4,-2,0,1
-4,0,-4,0,18,4,1,-2
-2,0,-2,-4,-7,-3,-2,-1
-8,-6,-1,2,9,-2,-4,-3
-5,-10,-4,-1,-8,-5,-2,-2
2,-3,-5,-12,-21,-6,-2,1
3,4,2,-5,0,3,2,1
0,-2,-3,6,10,2,1,1
-1,-5,-1,-7,-4,-1,-1,-2
-4,0,2,13,3,-2,-1,-1
-4,-8,-8,-12,-3,-5,-1,-3
-12,-17,-2,-17,-29,-6,-1,-3
18,26,2,22,27,5,3,0
3,2,1,0,11,0,-2,-1
-11,-3,0,6,-13,-3,-3,-2
-10,-27,-6,-10,-5,-1,-1,-3
-5,21,0,-4,-5,1,-2,-5
0,-3,-1,1,4,1,1,0
0,-2,-3,-3,7,0,-1,-4
-2,9,-1,-3,-5,-3,-1,0
-2,-21,-6,-4,-6,-2,0,7
1,2,2,4,0,-2,-3,-10
-8,-2,-5,-1,-2,-2,-3,-4
5,5,-3,-6,-4,0,-1,0
-7,-8,5,6,5,0,0,-4
4,3,-5,-4,-6,-2,-1,4
5,-5,1,-1,-1,0,0,-1
7,19,4,3,-2,1,0,0
-4,-20,-5,-5,1,-1,0,1
1,0,0,-6,-6,-1,0,0
10,14,-1,2,-1,-1,-1,-1
4,2,3,4,5,0,0,2
-9,-7,-1,-3,-4,-3,-2,-3
-7,-9,0,-3,-6,-3,-1,1
-2,-8,-5,4,0,-1,-1,-2
-4,-3,0,-13,-6,1,1,2
6,7,3,9,2,1,-2,-4
-1,-9,0,4,3,1,-1,-2
2,6,1,0,0,-2,-2,1
1,-6,-4,3,3,-3,-3,-3
-1,-12,-3,-9,-7,-1,1,2
8,17,2,-5,-2,0,-1,0
-2,-11,-3,0,-2,0,-1,3
-7,-8,0,-2,2,-1,0,-3
5,14,4,-4,-1,0,-2,-2
-12,-15,-2,2,0,-1,-2,-4
4,7,4,1,2,-1,0,4
20,9,0,1,0,-2,-7,1
-17,-2,-9,-13,-9,-1,0,-11
-13,-27,0,9,5,0,-9,-1
2,2,-6,-6,-6,-1,6,0
7,16,-4,1,0,-3,-2,0
-2,6,-7,-12,-3,-2,-16,-3
-4,-16,14,-12,-1,-2,9,-1
-8,6,0,16,9,-4,-18,4
-2,4,2,5,6,2,7,-9
19,-5,-1,3,-2,-3,-1,10
-3,14,-14,-21,-15,-8,-2,0
-7,-18,3,-3,3,13,24,-2
3,10,0,2,-2,-16,2,7
-13,-15,-3,-8,-7,-5,-19,-12
17,8,-6,-2,-5,-6,1,8
-5,-4,6,3,2,0,-1,0
-10,-14,-8,-2,-3,7,13,0
1,2,6,7,6,2,0,1
0,2,-5,0,-1,-3,-16,-8
2,9,-1,-7,-8,-16,-25,-7
-9,-16,-12,-20,-10,-6,-26,-5
-9,-8,5,11,7,1,28,2
8,8,7,20,28,29,21,9
-3,-14,4,4,-1,15,47,15
-20,-8,1,3,1,-2,-37,-15
20,6,-8,-8,-8,-9,-46,-6
-6,-11,-7,-4,-8,11,-45,-16
10,22,1,-8,-11,-11,36,11
27,15,12,21,32,26,72,33
-11,-8,-3,-2,3,-1,-2,-1
-3,8,0,-5,-9,-4,-4,-8
0,-9,1,4,13,24,-30,-5
-4,-7,1,5,-3,1,-36,-9
0,4,-4,-4,-1,-2,9,-2
-3,0,-8,-2,-7,-10,-7,-2
-3,-6,-5,-25,-5,-2,-10,-9
2,4,6,20,4,3,14,4
10,9,3,-8,-5,5,24,6
-21,-20,-5,-14,-6,-16,-5,-9
