EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-3,0,-3,0,-2,-1,-2,-4
-1,0,-1,0,-3,-2,-2,-4
-1,1,-1,0,0,-2,-2,-1
-8,-2,-2,0,0,-1,-1,-2
1,-3,-2,0,-2,-2,-2,-1
-3,-2,-2,-2,-3,-1,-2,-2
-2,-1,-1,-2,-3,-1,-2,-4
-1,-1,-2,-2,-2,-2,-2,-3
3,0,-1,-1,-3,-2,-1,-1
0,-1,-1,0,0,0,0,-3
-6,-4,-2,-2,-3,-1,-2,-1
1,0,-3,-1,-3,0,-3,-1
0,-1,0,1,1,1,-3,-3
0,1,0,-2,0,0,-2,-2
-8,-5,-2,-1,1,-2,-3,-2
-2,-4,-2,-2,-10,-3,0,-1
4,3,-2,-1,-6,1,0,0
2,2,-1,-6,11,1,-1,0
4,3,-2,7,0,0,-2,-1
-10,-9,-6,-9,5,-4,-5,-10
7,1,0,-15,-40,-4,2,2
3,14,8,26,34,5,1,5
-2,20,0,3,0,-3,-1,-6
-5,-15,-5,-9,-3,-5,-3,-2
4,-5,-3,7,6,1,-2,0
11,13,2,-1,-1,-3,-1,1
13,11,-3,4,-3,-2,-1,1
-21,1,0,-21,-25,-5,-1,-5
4,2,1,9,12,4,-2,1
-5,-2,0,2,17,-1,-1,-3
-12,-19,-1,-12,-12,0,-2,-3
12,0,-2,-3,-9,-3,0,2
-4,-16,1,1,1,2,2,2
4,19,4,16,29,5,3,1
18,21,7,18,19,3,1,7
-10,-7,-10,-5,-1,-3,-5,-6
-10,-8,-7,-15,-19,-6,-5,-5
-5,-21,-2,-1,-14,-2,-1,0
-9,-16,-6,-14,0,-2,-1,-3
19,12,3,10,5,3,-1,3
-11,4,-2,3,0,-2,1,1
7,5,-7,-33,-18,-3,-1,1
1,-2,-5,14,-8,0,-2,0
-16,-10,17,1,16,2,-3,-9
9,14,-3,3,-16,-2,-2,-6
-15,3,-4,-13,-4,0,-3,-5
3,-2,-5,-8,1,1,3,9
9,-14,0,3,21,1,1,3
7,20,9,8,-4,-5,-3,-4
-15,-17,-3,10,-7,-1,-2,-4
2,5,0,-10,-1,-3,-1,-5
-14,-10,-13,-10,-20,-2,-2,-1
15,7,-2,-17,-1,-3,1,4
-4,-4,-3,-6,-12,1,0,-4
-11,-12,0,5,7,-1,-1,-2
6,12,0,8,4,1,-1,-2
-22,-19,-2,0,2,0,-3,-6
7,0,1,6,6,-3,1,4
-3,0,2,-6,-11,-3,-1,-4
-8,-16,-6,-3,-7,-1,-1,0
10,14,1,5,11,1,0,1
8,3,0,2,-5,-4,-3,1
-15,-9,-2,2,5,0,-2,-6
11,-2,-4,-8,-15,-5,-1,2
1,9,6,-11,-5,1,2,3
7,2,4,10,5,3,3,4
