Gyro_X,Gyro_Y,Gyro_Z
3.625,2.25,6.75
7.5,1.125,7.1875
12.375,0.5,6.625
15.3125,-1.9375,7.4375
23.6875,-1.1875,7.0625
28.4375,-1.9375,5.6875
23.1875,1.375,2.875
17.125,1.875,1.375
5.4375,4.25,0.25
8.0,4.375,-2.0625
0.125,6.75,-4.0625
1.625,4.25,-4.5625
-0.3125,2.9375,-5.125
7.1875,-1.25,-6.9375
10.375,-0.5,-4.3125
15.0625,-0.9375,-4.5
20.0,0.5625,-3.25
20.75,6.25,-0.125
19.75,15.4375,6.8125
16.6875,28.6875,15.0
32.0,48.1875,23.0
44.625,71.5625,24.8125
49.375,89.3125,20.4375
52.75,96.6875,13.875
58.6875,107.0625,4.875
54.6875,123.125,-9.4375
39.0625,133.8125,-19.875
31.875,135.6875,-23.6875
46.0625,137.9375,-29.4375
63.8125,143.625,-34.625
66.125,148.5,-35.8125
58.3125,146.4375,-35.5
53.25,142.8125,-37.3125
51.4375,143.8125,-38.8125
50.875,145.5625,-41.3125
55.4375,139.875,-38.75
65.6875,132.375,-30.375
81.0625,125.75,-26.1875
90.6875,119.5625,-21.4375
91.75,111.0625,-14.8125
89.5,101.5,-12.625
79.8125,88.125,-10.0
87.5,76.625,-5.75
100.0,65.1875,-3.6875
91.4375,54.0625,-9.4375
73.25,42.6875,-12.25
57.3125,33.4375,-11.9375
40.0625,27.5625,-11.6875
22.125,25.0,-11.0625
17.0625,22.875,-8.75
18.0625,20.1875,-5.5625
20.625,17.375,-2.5625
21.4375,15.75,-0.5625
21.5,13.6875,3.4375
18.9375,11.375,6.5625
14.3125,12.9375,7.9375
11.875,17.125,9.0
9.1875,19.375,11.125
5.5,26.375,8.125
-5.875,35.8125,5.625
-9.4375,50.375,0.125
-9.25,66.375,-9.4375
-21.0625,79.875,-24.625
-27.75,90.9375,-41.1875
-30.0,97.4375,-62.75
-48.0625,97.9375,-80.9375
