EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-1,-1,-1,0,-1,-1,-2,-3
-2,-1,0,-1,-2,-2,-1,-2
-2,-2,-2,-2,-1,-3,-2,-1
0,0,-1,-1,-1,0,-2,-2
-2,-1,-2,-1,-2,-1,-1,-2
-1,-2,-2,-1,-2,0,0,-1
0,-1,-1,-1,0,-1,-1,-1
-1,0,1,-1,-3,-2,-1,-2
-1,-1,-1,0,-2,-2,-1,0
-1,-2,-1,1,-1,-1,-2,-1
-2,-2,-2,0,-3,-1,-2,-1
-2,-3,-3,0,0,0,-1,-1
-1,-1,-3,-1,-3,-2,-3,-1
-2,-2,0,-1,1,-1,-2,-2
0,-1,0,-2,0,-2,-3,-3
2,-3,0,2,-6,-4,0,1
-3,-2,-2,-7,-9,2,2,1
-8,-1,0,7,9,2,-1,0
1,0,-1,2,5,0,-1,-1
-3,2,0,-14,-4,0,-3,-4
2,0,0,14,9,-2,-1,0
-3,-3,-4,-6,-16,-5,-1,0
3,-3,-2,-11,-5,-1,-1,-2
-5,-3,-3,7,8,-1,0,-1
-3,0,0,-1,-12,-2,-1,-1
3,-6,-3,9,13,2,0,-3
1,2,-2,-12,-9,-2,1,2
3,-24,-9,-4,-15,-3,-2,2
-5,20,-2,-7,11,-2,-1,-2
-3,-5,-3,-13,-17,-2,-1,0
8,3,19,58,28,4,0,-1
5,13,12,8,4,2,2,1
-2,-8,2,26,15,2,2,2
-3,-7,-6,-25,-22,-5,-1,-2
-6,2,-9,11,16,1,-1,-3
-7,-7,-4,-12,-2,-1,0,1
4,-10,-3,1,-14,-3,-2,-3
11,16,0,0,12,0,0,0
-15,-22,-10,-27,-19,-4,-3,-5
-15,1,0,0,6,-3,-4,-6
-9,-2,-8,-20,-12,-4,-4,-1
10,2,1,-6,-13,-3,-2,2
-10,13,4,4,4,2,0,-4
5,-1,-1,7,4,-2,2,3
-2,7,-4,-17,-15,-3,-2,-3
-5,-16,-10,-21,1,-4,-1,-5
-2,-12,2,-14,-28,-2,-3,0
3,12,2,6,28,7,1,-1
-3,-3,12,21,12,1,-1,-3
-14,-1,5,36,19,2,1,-4
-9,-17,-10,-28,-9,-4,-1,3
16,13,-11,-23,-14,-6,-18,-8
22,9,2,-3,-13,-2,-3,6
-9,-2,-4,-8,-4,-3,-2,4
-8,2,-4,-1,0,-4,-3,-12
-19,-20,-4,-7,-12,-5,-1,-4
6,-3,-2,-1,5,0,0,4
11,6,5,5,-4,0,-4,2
-3,-2,-1,2,4,-2,-8,-2
12,8,4,7,-1,1,12,1
-19,-26,-3,-6,-3,2,3,-4
5,13,4,11,10,4,-1,-1
4,9,-1,-5,-5,-7,1,0
0,8,-1,-12,-17,-5,-2,-2
-2,-24,-6,5,21,4,-3,-2
-18,-13,0,-4,-17,-9,-5,-4
14,23,11,22,26,3,-2,4
-10,-3,-4,-3,-5,5,19,5
2,2,2,-6,0,3,-20,-2
-2,-24,-18,-14,-5,1,14,-10
1,9,9,-10,-5,14,46,12
7,3,8,29,16,5,-17,3
-18,-11,-2,-3,-7,-17,-8,-7
-7,2,1,6,6,3,9,-1
6,-2,-7,-13,-9,3,1,2
-5,-6,-3,-8,-3,-4,-6,-4
-2,4,-1,-1,-2,5,2,-3
3,6,3,-3,0,-9,-47,-6
2,-4,-6,-2,-7,7,-18,-2
-14,-11,-3,2,8,-12,26,-1
17,23,2,0,-1,-6,-2,10
-2,-9,1,2,-1,-8,-5,-2
-13,-16,-10,-8,-9,-22,-43,-20
13,11,4,5,1,9,9,10
0,1,0,-1,1,11,43,11
-4,7,4,6,10,2,-20,-6
-1,-16,-5,-6,-19,-31,-76,-24
-18,0,-2,-7,-4,-4,7,-9
6,14,6,14,6,15,33,11
16,4,6,3,8,35,54,28
-3,-4,-4,-1,-3,-17,-19,-14
-2,-7,-6,-8,-5,-7,-19,-10
-2,-10,-2,-8,-3,-1,1,-4
-1,7,-2,3,1,6,-8,-6
-2,3,1,0,-5,-11,-8,-1
2,-3,-2,-2,-4,3,-2,1
-8,-4,-6,-5,-6,-7,-24,-6
7,3,4,4,5,-9,30,9
-2,5,1,2,10,25,74,13
-2,-3,5,3,2,5,1,10
0,-1,-1,-6,-4,-5,-30,-15
2,4,-1,2,-6,-9,-25,-5
-2,-4,-11,-8,-2,9,-4,1
-26,-28,-6,-27,-4,14,-13,-9
21,37,22,32,18,-7,-21,4
-32,-13,-11,-8,-11,-32,-28,-18
31,18,7,8,8,11,36,28
9,-20,-9,2,2,9,12,2
0,-4,-8,-26,-20,-12,36,7
6,10,7,13,1,3,-6,2
3,0,1,6,-1,-10,-35,-5
6,1,0,6,5,11,1,-6
-5,-3,-4,-10,-12,-14,10,-2
-15,-6,-5,-5,-16,-24,-48,-29
-11,-22,-12,-12,-4,-6,1,-6
9,11,-8,-2,-7,8,-33,-7
6,-16,-3,-18,-1,-17,33,-1
27,10,5,-8,-2,5,34,25
-26,-1,18,21,11,39,74,29
-1,37,9,5,-16,-52,-12,-9
27,9,-19,-14,-16,-14,-45,-6
-20,-10,7,3,9,14,-22,-14
7,-30,-16,-14,-12,-24,-22,-7
-25,3,14,12,11,3,34,18
-4,4,9,18,17,33,1,-7
15,-28,-8,-2,-11,-8,-26,-5
-15,42,-1,-11,-31,-63,-73,-27
24,9,5,-7,-1,1,60,35
-6,-11,-13,-13,11,20,63,19
-23,-19,6,3,12,8,-23,-15
1,-3,6,24,13,17,-20,-15
12,4,-20,-15,-19,-17,-46,-19
-32,-17,-10,-40,-28,-11,-54,-20
27,18,4,9,15,23,20,14
16,6,25,40,33,8,63,25
-2,6,6,15,23,17,37,6
-14,-21,-10,5,-3,0,-27,-8
-50,-26,-32,-39,-34,-20,10,-21
20,11,-3,-28,-7,-11,-14,3
28,-2,7,-2,2,10,9,13
-20,9,24,50,23,-3,-25,-29
7,0,-1,7,5,3,25,17
-11,-15,-22,-9,-10,2,10,-7
-8,-11,-21,-25,-18,-17,-18,-10
