Gyro_X,Gyro_Y,Gyro_Z
32.4375,-0.0625,11.5
30.0,0.6875,11.1875
28.875,0.3125,11.25
24.4375,3.3125,10.75
27.0625,4.75,11.25
23.1875,5.9375,11.1875
25.625,8.375,11.0
27.0625,8.75,10.75
28.125,12.1875,9.75
31.75,13.375,9.9375
31.3125,18.625,10.3125
34.875,22.75,11.9375
36.3125,33.5625,13.5
40.875,44.25,15.4375
60.625,58.1875,15.0
70.8125,75.875,7.1875
72.375,89.4375,-0.1875
94.6875,97.4375,-8.125
108.5625,112.3125,-22.3125
85.125,128.4375,-37.5625
55.3125,138.75,-43.9375
40.8125,145.3125,-46.0625
38.5,150.625,-48.375
38.6875,156.875,-53.875
35.1875,157.875,-55.75
40.3125,153.0625,-51.6875
52.625,150.0625,-50.6875
58.125,146.625,-52.8125
60.25,140.625,-51.25
68.375,131.5,-47.4375
77.1875,123.8125,-44.5625
78.6875,116.875,-46.125
67.6875,107.5625,-40.375
72.0625,95.3125,-26.5625
94.8125,80.3125,-18.0625
115.3125,66.6875,-20.875
94.4375,55.0,-19.6875
78.5,43.9375,-12.0625
89.5625,36.75,-12.625
91.375,31.375,-13.375
64.4375,30.25,-9.5625
45.3125,29.75,-8.375
40.6875,28.5,-9.4375
31.25,26.875,-12.375
6.625,26.5625,-15.0
-23.5,20.9375,-15.6875
-29.6875,10.125,-19.625
-33.3125,-0.5625,-26.0625
-64.75,-17.75,-23.8125
-86.625,-37.75,-19.6875
-37.5625,-41.125,-21.25
25.125,-35.5625,-21.1875
-3.0625,-39.5,-14.25
-44.0,-40.4375,-8.5
-18.5,-28.0,-6.25
1.3125,-20.0,-3.3125
-3.8125,-13.5625,0.5625
-9.875,-5.0,5.0625
-4.4375,5.1875,6.8125
0.8125,10.25,8.0
7.6875,13.375,6.125
15.9375,14.6875,2.25
27.125,22.0,-4.625
32.1875,37.0625,-14.1875
24.4375,50.125,-20.375
10.4375,59.875,-30.0625
0.8125,70.9375,-40.875
-5.1875,74.4375,-45.9375
-9.375,76.0625,-52.75
-22.3125,74.625,-57.9375
-26.75,69.9375,-74.1875
