EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
1,1,1,1,1,-4,-1,0
1,-4,-4,-4,-7,-3,-2,-2
-16,-5,-2,2,-3,-4,-4,-6
4,-4,-6,1,5,-3,-2,1
-6,-3,-2,-5,-1,-1,0,1
2,1,0,-6,-9,-2,0,1
5,-3,-1,6,-2,-1,-2,1
-7,2,0,3,6,0,-1,-4
-1,-2,-2,-1,-3,-1,-3,-3
-3,-4,-4,6,-3,-3,-4,-2
-1,-1,-11,-23,-7,-5,-3,-2
-7,-17,0,-7,-3,-1,-4,-6
11,14,4,-3,-28,-3,1,8
-18,-11,-7,-3,19,5,-1,-7
4,-9,13,18,22,5,1,-2
2,33,11,17,11,2,0,-2
-1,-14,-7,-5,1,-3,-1,-3
11,21,-2,0,-8,-5,-2,2
-6,-38,-15,-10,-8,-4,-2,-1
-5,-8,-8,-23,-14,-3,-2,1
8,1,2,-2,13,1,1,4
-8,-25,0,14,-14,0,-2,-2
13,27,1,2,12,2,1,5
-4,-9,-5,-21,-23,-4,-2,-1
0,-1,-6,-8,4,2,-4,-7
-4,-8,8,8,24,3,3,3
-1,16,5,7,-4,3,2,4
-25,-45,-1,37,23,3,-1,-9
5,34,-4,-12,-16,-9,-3,0
-2,22,2,-8,-7,-4,-4,-11
-1,-17,-8,1,0,-3,0,5
16,19,2,-13,-3,-2,2,6
-4,-36,-7,4,-2,-1,-2,0
4,9,-3,-11,-5,-3,-2,2
-16,-2,2,7,0,-3,-4,-9
-7,-5,-3,-20,-11,-2,0,1
0,-8,5,15,-2,2,1,0
6,8,0,4,3,1,1,3
-2,-15,-5,-6,0,-1,-3,-5
1,-6,-4,4,7,0,-3,-3
-9,5,-3,-18,-34,-6,-2,-2
9,12,-3,7,9,1,0,5
-12,-16,-2,-5,3,-1,-2,-7
17,20,1,-8,-12,-4,-1,4
-1,-4,1,8,2,-3,-2,0
-18,-15,-6,-8,-2,1,0,-9
8,4,0,-4,-10,-2,2,2
5,0,-3,-6,5,-3,-1,0
-4,-6,-3,-6,1,0,0,3
-3,2,1,5,4,-3,-3,-2
12,21,-1,-6,1,-2,-3,-3
2,-29,-1,-4,-15,0,-1,0
-17,-18,0,10,18,3,1,-5
11,49,5,-2,-2,-1,1,3
-1,-7,-2,-8,-7,-1,-2,-2
-12,3,-3,1,-2,-3,-3,-2
22,13,-3,-5,-1,-2,-1,3
-17,-30,-6,1,-1,-1,-5,-13
0,9,3,-2,-2,1,4,5
11,18,1,7,6,1,-1,1
-18,-14,-1,4,8,1,1,-2
13,-7,-3,-14,-17,-5,-1,5
0,-10,-4,6,-3,-1,-2,-3
9,22,2,4,5,1,0,-3
7,10,-3,-6,-3,-3,-1,-1
3,-32,-3,-17,-11,-4,-4,1
-4,0,4,11,7,-2,-1,0
-20,11,5,5,3,1,2,-2
0,15,0,-1,-7,-1,-2,-4
-7,-5,-10,-11,-8,-3,-2,-1
8,-22,4,-15,1,-1,3,8
-28,-4,-2,8,-1,-7,-19,-21
0,12,-4,-7,-6,5,22,4
-9,-10,-3,9,8,8,7,-3
8,5,-5,-8,-10,-11,-8,-3
2,-4,0,-5,-8,-4,2,1
-5,-15,4,5,3,0,-5,-6
9,-1,-7,-4,-2,0,27,11
-13,-9,-2,4,4,8,1,-6
-2,-7,-7,-9,-5,-13,3,4
7,12,6,8,8,11,25,7
12,7,4,4,5,10,6,12
4,0,-2,-6,-7,-2,-23,-6
-3,-8,-4,-6,-5,-22,-93,-19
0,-1,1,0,1,7,-26,3
11,10,13,7,9,18,99,26
3,12,9,8,5,15,36,10
-5,-12,-19,-19,-19,-42,-6,-2
-13,-19,-12,-6,-11,-13,-16,-13
-15,-7,-9,-3,-1,-20,-96,-31
-10,-8,-1,-4,-1,11,59,7
-2,7,0,4,2,4,25,6
2,4,8,3,-1,-12,-17,-8
-3,7,-1,-5,-4,-11,-10,1
-3,-8,-11,-8,-4,-8,-18,-6
7,-1,4,8,9,18,13,7
4,7,2,3,4,5,19,7
-16,-21,-5,-4,-7,-2,-13,-4
28,30,-7,-5,-13,-17,-39,-10
-18,-12,-2,-30,-3,16,-27,-19
21,2,16,62,25,5,-20,5
-3,8,7,2,-11,-25,-14,11
-51,-44,4,14,11,-13,27,-8
14,-5,-1,7,9,5,11,11
-30,-20,-20,-40,-19,3,-1,-16
-4,7,-19,-35,-20,-12,-70,-29
27,31,13,51,36,27,-69,-5
-3,12,3,-16,-6,-2,44,7
27,9,29,48,27,22,75,36
-36,-39,1,17,1,-4,-6,-12
0,20,-10,-19,-17,-15,-12,-8
6,-16,-7,-10,-2,3,-28,-13
-1,-6,-14,-23,-2,-8,-4,-6
-2,34,18,22,15,11,26,10
21,15,3,-3,-5,-11,20,5
9,16,1,10,-3,2,-19,-5
-13,-22,-32,-33,-28,-9,-5,1
29,-3,17,-25,8,14,48,22
-44,-33,-2,16,2,-25,-69,-38
21,13,10,28,16,30,66,31
-9,-1,-18,-37,-21,-10,-56,-21
22,0,4,20,11,6,9,4
7,-8,8,0,-1,-6,23,31
8,35,5,-1,-2,7,16,-5
-26,-2,-2,-6,-20,-26,-61,-29
18,11,-6,5,6,41,36,17
-29,-34,4,-17,-7,-11,13,3
11,27,16,53,44,26,28,12
19,16,10,5,-5,3,13,2
4,13,-5,-10,13,-4,15,13
-8,-4,-12,11,-4,14,9,-2
-10,-33,-17,-81,-49,-42,-28,4
-1,9,37,98,65,34,-6,-4
3,-8,-7,3,-12,-17,-25,-8
-21,-22,-11,-17,-5,13,-4,-23
17,-10,-7,-13,-14,-8,-10,7
-7,9,-3,3,9,4,28,4
-28,-11,0,9,5,-4,-26,-23
16,12,-5,-9,-1,-4,-5,2
-22,-16,-9,1,-10,-18,-63,-26
13,-1,-24,-62,-46,-9,17,16
21,-4,20,33,57,25,36,8
-8,-10,1,-2,2,1,17,10
-27,-6,1,4,-6,-12,0,-8
4,38,-23,-20,-22,-28,-83,-28
-1,-10,-10,-29,-23,-20,-17,-14
25,5,-2,-1,5,6,-51,-6
34,-9,3,10,5,-19,60,34
-10,4,8,1,-7,-9,31,7
-37,-4,-15,-13,-13,-17,-24,-18
23,10,-1,-6,6,29,43,26
-22,-19,-9,5,-6,-1,-35,-17
6,-20,-1,-10,-6,-38,-3,-3
12,18,10,16,8,32,24,21
-12,-7,1,-7,-4,11,19,-5
-4,-16,-3,6,-3,-3,-1,8
9,6,-5,-9,-8,3,-11,-21
-3,-12,18,17,19,-4,13,6
0,38,-7,-22,-10,-11,-20,-2
-17,-40,3,3,11,45,7,-17
0,-16,-23,-33,-14,-19,12,8
-1,-14,-18,-33,-31,-45,-33,-11
9,1,40,43,37,9,71,29
-16,59,20,43,23,-2,-15,-19
8,-25,2,10,5,18,29,21
8,40,-16,-18,-28,-13,-57,-16
-16,-36,-33,-50,-24,-46,-19,-20
