Gyro_X,Gyro_Y,Gyro_Z
15.3125,-1.5625,15.1875
17.0625,-2.5625,15.25
17.375,-1.125,15.6875
22.75,-4.5,14.375
21.625,-4.8125,13.8125
28.125,-6.125,13.3125
25.1875,-3.8125,14.0
35.625,-2.8125,15.8125
32.5,0.75,20.3125
37.125,7.8125,24.8125
27.4375,21.625,33.75
32.125,34.3125,36.8125
38.625,47.375,41.6875
53.375,56.8125,41.1875
62.9375,70.0625,41.8125
66.3125,81.9375,40.625
74.8125,90.625,37.25
93.375,95.9375,32.25
103.3125,101.125,25.625
100.0625,107.4375,19.4375
96.1875,116.25,15.6875
106.4375,123.9375,12.9375
116.625,129.0625,9.25
103.0625,132.9375,2.5625
70.9375,133.125,-0.5625
58.5625,130.8125,0.25
82.6875,130.1875,-3.5625
120.8125,133.6875,-14.4375
131.75,130.9375,-22.375
106.5625,123.3125,-29.875
82.75,116.5,-29.375
87.875,110.25,-32.0
100.75,95.25,-36.625
94.875,79.3125,-38.125
84.375,61.625,-40.625
80.6875,48.25,-41.3125
77.0,35.875,-38.1875
62.4375,24.8125,-40.25
54.0625,20.1875,-34.75
45.1875,18.125,-25.6875
23.125,21.75,-21.4375
-5.9375,22.5,-17.75
-7.5625,21.6875,-17.25
14.0,24.375,-16.4375
12.875,29.875,-13.875
-15.5625,33.125,-9.9375
-24.4375,33.1875,-5.1875
-0.625,33.1875,-4.375
6.8125,22.4375,-7.8125
-5.375,3.0,-12.0
-9.125,-14.4375,-16.625
-0.25,-27.75,-18.25
10.375,-33.125,-20.6875
0.875,-34.125,-20.9375
-19.0625,-29.6875,-17.1875
-25.5,-18.5625,-12.0
-15.0625,-8.375,-5.3125
-7.375,1.75,1.4375
-9.0,13.0625,6.8125
-8.375,22.9375,11.0625
-5.1875,31.0,14.3125
-4.1875,37.1875,17.125
0.25,43.5625,17.6875
-0.625,49.125,17.5625
-4.0,56.3125,14.9375
-13.5625,64.875,8.5625
-31.0625,73.0625,1.4375
-44.8125,82.3125,-4.5625
-38.8125,98.5625,-13.0625
-44.0625,115.375,-32.75
-58.3125,120.8125,-41.9375
-51.4375,114.875,-45.0
