EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
-2,0,0,-5,-29,-2,1,1
1,-1,1,21,39,7,2,1
-3,-1,-2,-4,4,-1,-2,-2
2,0,-2,4,6,-3,0,1
5,-3,-4,-11,-30,-4,-1,-1
0,-2,-5,-4,19,1,1,3
5,2,4,-9,-13,-2,0,2
-5,2,9,5,-11,4,-1,-3
2,2,7,31,35,6,2,1
-6,-4,0,4,-7,-3,-6,-7
11,0,-5,-4,-4,-3,-2,0
-3,-9,-7,-10,5,-4,-5,-2
-6,0,-5,-13,-9,-5,-4,-4
0,7,0,-2,-14,-4,0,0
-2,4,-3,2,7,-1,-2,-2
-3,-12,-5,-6,-13,-5,-2,-3
-9,-3,-5,-3,7,-1,-4,-4
-4,-4,1,-13,-14,-3,-2,-2
0,2,1,-6,-14,1,1,-1
-5,-4,-1,10,20,1,0,-2
6,1,-1,-3,3,0,0,0
5,9,-3,-11,-7,-2,-3,0
-10,-15,-7,-5,0,-4,-4,-3
11,12,8,12,-17,0,1,3
3,7,22,44,9,6,2,4
-9,2,-7,5,5,-3,-3,-6
-1,11,6,-9,-3,-1,-2,-2
1,3,-2,-10,-15,-5,-2,-1
9,0,-5,-1,4,-3,1,2
4,-7,-2,-7,-7,-1,1,0
-4,-6,-3,3,-1,-1,-2,-1
1,0,-4,-8,1,-2,-2,-1
-5,-8,-2,-12,-7,-3,-2,-3
-3,-7,-1,2,0,0,-1,-1
3,6,-3,-8,-4,-2,1,-1
6,2,10,14,4,3,-1,1
-4,4,-2,-2,-2,-2,-2,-2
6,-6,-5,3,3,1,9,6
-8,-4,-3,-12,-8,-3,1,-4
-13,-20,0,-6,-7,3,-1,-7
-11,16,-1,4,16,-2,-6,-7
4,-17,-9,-21,-41,-6,-4,3
17,4,19,56,52,11,4,11
6,-5,-3,14,12,0,6,0
-9,5,9,-3,-4,-3,-5,-6
13,13,7,25,13,0,-4,2
-11,-11,-10,-10,-16,-7,-5,-6
4,9,-4,-17,-13,-1,-3,4
8,7,-4,4,5,2,2,5
10,19,4,-17,-3,-3,-3,-2
-9,-8,-7,-9,-11,-4,-6,-7
-3,-18,-4,3,3,-5,0,3
1,-12,-8,-18,-15,-3,8,2
-14,-4,1,-4,-1,5,-1,-14
1,-1,1,2,1,11,11,0
-2,4,-2,-3,-4,-19,-44,-7
